"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=47-A&vs=INTL.47-33-AFG-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:08:32 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Energy Intensity","MMBTU/Person"
"","Population",""
"","Afghanistan","MMBTU/Person",2.06,2.36,2.52,3.1,3.19,3.28,3.31,5.34,9.2,9.04,4.03,3.62,2.22,2,1.88,1.45,1.42,1.35,1.24,1.2,1.12,0.86,0.84,0.71,0.69,0.83,1.02,1.32,2.22,3.47,4.22,4.75,4.55,9.46,9.3,9.15
"","Albania","MMBTU/Person",57.47,56.32,55.08,55.57,55,53.78,51.75,51.01,50.95,47.41,32.78,28.73,25.93,22.92,22,24.44,27.35,24.9,26.78,30.34,30.68,29.25,30.37,36.68,37.78,39.34,38.63,34.03,34.43,37.84,42.81,35.93,35.42,43.48,39.83,40.86
"","Algeria","MMBTU/Person",40.66,33.4,47.35,50.47,52.33,46.54,46.19,48.08,49.74,46.72,47.94,51.19,48.03,43.37,43.8,44.67,42.83,40.33,41.24,40.52,40.62,40.27,41.06,40.9,39.52,44.88,46.31,45.1,48.02,49.99,49.42,52.23,56.24,52.89,60.36,58.61
"","American Samoa","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Angola","MMBTU/Person",6.55,6.21,6.38,6.67,5.87,6.91,6.77,6.75,6.74,6.49,6.53,6.55,6.58,6.26,5.93,6.18,5.75,6.13,5.44,5.88,6.73,7.07,7.25,7.76,8.28,6.85,8.31,9.19,10.41,11.43,11.96,12.14,13.06,13.34,13.32,13.21
"","Antarctica","MMBTU/Person",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Antigua and Barbuda","MMBTU/Person",0,0,0,0,0,0,0,0,88.33,89.14,89.96,88.13,86.37,84.69,96.91,95.08,92.58,90.2,87.94,85.79,83.75,82.63,81.54,91.97,90.79,100.84,99.63,98.45,97.3,106.86,105.64,104.48,103.34,102.23,96.86,104.04
"","Argentina","MMBTU/Person",58.16,55.8,57.67,57.51,61.35,57.32,61.51,62.09,61.43,60.01,57.37,59.23,60.69,64.48,64.58,65.8,67.39,68.54,70.87,71.23,72.06,69.74,65.23,69.57,71.91,79.4,83.62,83.62,86.02,83.44,85.74,88.08,86.84,86.82,88.25,88.35
"","Armenia","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,58.69,44.18,43.26,40.94,52.65,45.43,48.24,49.61,52.09,53.06,53.16,57.6,59.46,67.07,68.5,74.86,73.76,68.95,46.61,48.91,51.84,50.72,51.38,47.39
"","Aruba","MMBTU/Person",--,--,--,--,--,--,15.91,15.96,96,112.32,128.72,136.81,129.65,136.89,130.4,149.39,97.05,153.78,150.04,146.48,143.09,151.04,148.11,145.29,152.76,149.95,159.43,139.05,138.59,141.04,147.87,137.94,139.04,168.88,170.33,168.78
"","Australia","MMBTU/Person",187.57,184.1,192.69,187.5,196.34,201.59,200.96,205.86,209.62,216.46,218.4,214.99,218.45,222.25,220.5,224.35,231.42,246.97,246.56,255.2,253.79,259.55,261.27,264.12,272.65,274.15,274.52,278.8,274.12,270.88,265.51,266.28,260.52,242.27,239.19,235.33
"","Austria","MMBTU/Person",143.33,140.95,133.2,134.57,138.41,140.95,140.92,134.22,144.55,146.04,149.78,155.2,151.14,154.84,153.27,159.35,166.35,167.44,170.88,171.39,168.92,175.65,174.96,176.62,180.56,185.59,183.76,181.03,180.7,173.39,176.8,167.83,172.77,169.71,164.29,163.08
"","Azerbaijan","MMBTU/Person",--,--,--,--,--,--,--,--,--,--,--,--,133.02,111.05,99.32,93.94,82.29,80.61,68.18,70.01,65.28,73.99,71.36,71.83,75.35,77.26,80.95,68.23,72.78,63.67,64.91,60.75,65.13,64.72,61.62,64.76
