"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000002&c=4100000002000060000000000000g000200000000000000001&tl_id=47-A&vs=INTL.47-33-AFRC-MBTUPP.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 02:07:23 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Energy Intensity","MMBTU/Person"
"","Population",""
"","Africa","MMBTU/Person",13.9910969097,13.8882672448,14.6858288353,15.001878399,15.3025258624,15.2495688633,15.1196062171,15.2680305186,15.3640874753,15.2409598419,15.3446434446,15.2475206209,14.7993510735,14.5854824069,14.5413663153,14.7457949514,14.8651049668,15.1253772348,14.9772266789,14.633350669,14.955890019,15.0849615537,15.1420945474,15.381317204,15.66479909,15.8731652505,15.5910318227,15.4948180055,16.3162503524,15.4862765753,15.8632690464,15.785245809,16.2431042256,15.9716334431,16.0296067399,15.2633851764
"","Asia & Oceania","MMBTU/Person",19.9645205602,19.7095442618,19.6068200689,19.9016636389,21.030779749,21.3101065301,21.6525081772,22.2911496443,23.4493080184,23.6943583704,25.1120486456,24.7702594749,25.2293561409,26.3342268523,27.5149709022,29.0819996048,29.7439763969,29.8193739254,29.4483040357,30.5397734183,31.8583061318,32.5498726083,33.6089079596,36.0924135886,38.9494643846,41.3641781236,43.7165250019,45.928937365,46.4387873398,48.1320237245,51.3630743092,53.594461558,54.9278378686,53.4272925435,53.5932876396,53.3650252559
"","Central & South America","MMBTU/Person",37.5637168894,36.6015900888,36.3694589651,35.4244065003,36.8304849419,36.8192293201,38.5944013943,38.5971352565,38.9189607489,39.4556393444,39.9737251004,40.4807404809,40.4504943674,41.6791526541,42.9975771847,44.2327731349,45.7105481172,47.2791032021,48.0757896274,47.6217132673,48.7098356572,48.185248698,47.3655976116,47.5118484368,49.3728816059,50.7203999809,52.0428477181,52.4286593798,53.9718304249,53.01741476,55.8238428694,57.1286296304,58.1312382052,58.4003428098,58.7948613435,57.415574498
"","Eurasia","MMBTU/Person",369.299227615,368.977253851,380.938060787,385.595524454,404.081917925,416.742360789,425.676772079,431.193188124,440.921526292,431.719544819,211.461853871,199.373213578,184.140702209,169.019590832,151.016174532,145.276717563,135.485328299,128.609401328,127.65246532,131.555636988,136.132642172,136.579324514,140.241868574,145.554553796,150.055159361,149.715225907,152.961433414,154.580461191,156.910192998,138.686987155,150.369356208,156.075112893,156.80241167,151.326186808,147.802207989,145.834005032
"","Europe","MMBTU/Person",155.335816886,147.016503557,146.171268062,146.142721413,149.314647602,153.464554013,156.429201552,158.851238092,159.390963978,147.259598673,144.940812338,140.395324586,137.247358146,133.816036234,133.093596161,136.080336184,140.211112254,139.854025057,140.550823764,140.239624208,141.268361795,143.166218303,142.087748648,143.278277971,145.579153363,145.098976014,146.088901937,144.388464755,143.788234079,135.495984472,140.172052668,135.903857636,134.792157465,131.640654015,127.432369668,128.683081226
"","Middle East","MMBTU/Person",62.9431741037,63.3235615062,63.1186629043,68.3420821267,71.4441749737,75.5553683436,78.1535809242,80.4321410335,82.3037512741,83.8202236705,83.8529383238,82.8008211713,86.5587834305,89.2786684732,91.6193806145,91.0820700025,93.5750637821,97.7493607464,99.6010522624,99.3274982857,104.345761259,105.912656077,108.395580195,109.445789269,114.472673137,123.151682999,124.608108994,125.971033949,133.068933069,136.668208121,139.438988576,142.712857761,147.491930906,145.82093779,147.735374405,148.305000384
"","North America","MMBTU/Person",285.168766308,274.789690398,262.033731087,258.146929935,268.23949052,266.177246667,263.879590219,269.006597721,277.675396677,280.314578409,274.706599662,271.795996988,272.100387524,273.527126505,275.844570692,277.269967096,282.518110344,280.899794687,278.547205251,280.79498108,283.655760609,273.508349206,274.175875317,273.612540488,277.072501178,275.482516963,271.666297835,272.441882429,264.046582031,250.308469162,256.774425834,254.499084516,246.709171549,250.547138873,250.457646305,237.858006055
"","World","MMBTU/Person",66.6605552098,64.3830946446,63.3340969369,63.0849490162,65.2013236988,65.7301115438,66.0887103652,66.8986629611,68.2143460753,67.4280637013,65.5465470971,63.9683086999,62.9024152568,62.5873215255,62.3311810129,63.1958703167,63.8039350318,63.4185238774,62.9578257666,63.6089342639,64.9277848645,64.6465119377,65.1737957753,66.7538120075,69.1312601768,70.5225059607,71.7379724956,72.8357991424,72.8965814508,71.2103452947,74.5214530168,75.4668248207,75.7347263943,74.42346798,73.9540946174,72.6549766776 
