"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2015&vo=0&v=T&end=2017"
"Sat Aug 25 2018 02:26:42 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Gross Domestic Product","Billion $2010 PPP"
"","GDP",""
"","Afghanistan","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,27.1245,25.2098,24.4227,21.7532,22.1043,16.586,12.8938,19.3322,18.3134,17.3719,16.5834,15.7786,14.9102,14.0639,23.2051,25.1142,25.7028,28.2478,30.8355,35.7983,36.6333,42.9433,44.333,48.1814,53.4477,56.9089,58.6527,57.6022,59.6524,61.1437
"","Albania","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,13.9517,15.3241,13.8567,9.97655,9.25829,10.1471,10.9893,12.4509,13.5842,12.1119,13.2031,14.9856,15.9784,17.2471,17.9769,19.0087,20.0871,21.244,22.3978,23.7205,25.5081,26.3637,27.341,28.0369,28.4344,28.7193,29.2289,29.8774,30.879,32.0651
"","Algeria","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,247.208,258.085,260.15,257.028,261.655,256.16,253.855,263.501,274.305,277.322,291.465,300.792,312.222,321.589,339.598,364.049,379.703,402.106,408.942,422.846,432.994,439.922,455.759,468.976,484.921,498.499,517.442,536.587,554.295,563.163
"","American Samoa","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Angola","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,53.6464,53.861,53.6994,53.0551,49.3942,37.1939,38.4957,42.4992,47.2591,50.9926,54.4625,56.227,57.9206,60.3654,68.7075,70.7617,78.5123,90.3118,100.741,114.855,127.679,128.777,135.036,139.724,151.66,159.174,166.85,168.425,164.079,160.929
"","Antarctica","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Antigua and Barbuda","Billion $2010 PPP",NA,NA,NA,NA,NA,NA,NA,NA,0.987349,1.03921,1.0705,1.09381,1.10648,1.1649,1.24267,1.1885,1.267,1.33631,1.39954,1.45143,1.54856,1.47184,1.48692,1.57699,1.66746,1.77438,1.98644,2.18544,2.18478,1.92026,1.782,1.74495,1.80614,1.80426,1.89632,1.97332,2.07874,2.1515
"","Argentina","Billion $2010 PPP",425.9978,403.7248,390.9737,407.0513,415.1878,386.3309,413.9076,424.6305,416.586,387.6903,380.5948,420.8553,461.285,483.303,511.51,496.956,524.421,566.958,588.786,568.852,564.364,539.483,480.709,523.19,547.665,596.144,644.115,702.134,730.622,687.381,756.98,802.429,794.192,813.296,792.86,814.514,799.669,822.496
