"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000001&c=4100000002000060000000000000g000200000000000000001&tl_type=a&tl_id=33-A&vs=INTL.4702-33-AFRC-THP.A&cy=2015&vo=0&v=H&end=2017"
"Fri Aug 24 2018 23:44:05 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Population","1000 Person"
"","Population",""
"","Africa","1000 Person",475125.91,489501.933,503902.535,518313.22,532721.186,547112.563,563386.672,579644.272,595975.9088,612260.8164,628591.073,646287.5068,664032.3586,681787.0784,699513.5242,717179.6,735903.5706,754587.3512,773239.1268,791867.7644,810479.4,831642.3466,852782.2012,873901.1258,895007.1504,916100.847,940634.2132,965139.2724,989645.2606,1014181.5698,1038779.806,1067342.0304,1095957.2978,1124596.8632,1153230.7716,1181834.869,1213042.159,1244412.208
"","Asia & Oceania","1000 Person",2476036.385,2523908.2242,2572159.3384,2620897.6296,2670592.3998,2721659.423,2775938.265,2832116.771,2888822.1354,2944338.1542,2997464.016,3048807.7212,3098544.7754,3146970.6506,3194463.3518,3241221.972,3286235.2094,3330130.1528,3373267.8792,3415904.1346,3458495.271,3500696.5896,3542421.2642,3583720.6278,3624835.0112,3665815.348,3705807.2034,3745713.2818,3785435.5682,3824659.153,3863265.973,3902651.268,3941851.306,3980509.688,4018435.947,4055555.496,4091730.378,4127213.846
"","Central & South America","1000 Person",295132.8521,301607.271,308165.4079,314762.105,321349.778,327891.068,334499.5076,341091.5202,347787.0848,354325.6804,360828.536,367328.328,373785.554,380214.963,386629.342,393046.072,399334.5834,405627.3808,411896.3742,418114.1236,424257.378,430186.4008,436062.6396,441878.2144,447622.7052,453284.026,458809.7804,464245.2588,469618.3992,474945.3656,480267.878,485580.6612,490871.3794,496121.5586,501311.3068,506427.792,511359.0221,516229.6511
"","Eurasia","1000 Person",126549.2,127977.76,129315.86,130753.62,132188.22,133629,135022.49,136420.34,137801.56,139139.52,288059.98,288921.58,289410.44,289865.49,290231.2,290514.5,290178.08,289723.48,288536.74,288005.24,287315.56,286975.78,286482.77,285975.42,285930.73,285719.46,285877,286251.01,286805.1,287288.06,287955.33,288944.12,290034.84,291378.31,292462.91,291180.19,292157.42,293006.92
"","Europe","1000 Person",463182.662,465721.913,467877.027,469773.7,471646.255,473609.97,475719.208,477869.221,480293.127,520913.913,523769.007,541055.797,543361.715,561475.612,563617.638,565502.714,567361.276,569170.44,570739.341,572118.21,574001.186,575824.072,578164.693,581004.54,583978.67,586917.249,589700.107,592561.919,595444.96,597779.88,600076.033,602492.457,604945.865,607887.511,610897.667,613871.309,616706.314,619261.862
"","Middle East","1000 Person",93479.49,97474.885,101468.959,105458.724,109440.738,113413.853,117533.896,121647.71,125769.353,129917.881,134106.71,137621.859,141178.818,144773.967,148400.625,152053.264,155812.549,159625.333,163475.065,167332.693,171018.79,175044.059,179070.409,183111.754,187158.908,191214.637,196456.625,201708.64,206974.38,212313.47,217712.26,222314.73,227049.65,231871.76,236727.63,241523.16,245771.47,250006.74
"","North America","1000 Person",321311.089,325494.4112,329593.4534,333562.4856,337422.5178,341350.06,345400.5928,349465.2156,353674.9244,358068.4792,362943.114,368373.2286,374010.5832,379518.7778,384777.6624,389907.877,394940.3462,400058.8354,405050.1746,409971.3138,414822.803,419318.2786,423600.4742,427661.0998,432009.4254,436518.051,441362.0336,446302.1662,451343.9588,456231.4914,460954.194,465344.1012,469821.8884,474184.9456,478657.4528,483059.83,487469.3362,491854.4424
"","World","1000 Person",4250817.5881,4331686.3974,4412482.5807,4493521.4842,4575361.0946,4658665.937,4747500.6314,4838255.0498,4930124.0934,5058964.4442,5295762.436,5398396.0206,5484324.2442,5584606.5388,5667633.3434,5749425.999,5829765.6146,5908922.9732,5986204.7008,6063313.4794,6140390.388,6219687.5266,6298584.4512,6377252.7818,6456542.6002,6535569.618,6618646.9626,6701921.5482,6785267.6268,6867398.9898,6949011.474,7034669.3678,7120532.2266,7206550.6364,7291723.6852,7373452.646,7458236.0993,7541985.6695 
