Month,"Electricity Net Generation From Coal, Electric Power Sector","Electricity Net Generation From Petroleum, Electric Power Sector","Electricity Net Generation From Natural Gas, Electric Power Sector","Electricity Net Generation From Other Gases, Electric Power Sector","Electricity Net Generation From Nuclear Electric Power, Electric Power Sector","Electricity Net Generation From Conventional Hydroelectric Power, Electric Power Sector","Electricity Net Generation From Wood, Electric Power Sector","Electricity Net Generation From Waste, Electric Power Sector","Electricity Net Generation From Geothermal, Electric Power Sector","Electricity Net Generation From Solar, Electric Power Sector","Electricity Net Generation From Wind, Electric Power Sector","Electricity Net Generation Total, Electric Power Sector"
1973 January,75190.149,31183.619,21184.967,0,6246.251,25944.364,5.157,15.152,143.49,0,0,159913.15
1973 February,67797.946,26086.952,20252.525,0,5928.069,23031.167,15.138,13.874,131.171,0,0,143256.841
1973 March,67387.612,24033.245,24043.248,0,6649.007,25562.643,17.94,16.913,135.938,0,0,147846.547
1973 April,63935.049,20195.424,25030.266,0,5876.392,24072.596,6.323,16.771,158.705,0,0,139291.526
1973 May,64927.181,21741.975,29755.984,0,5696.657,24793.222,4.589,20.209,147.965,0,0,147087.783
1973 June,69592.039,25999.512,34627.356,0,6784.152,23752.076,3.707,16.938,169.654,0,0,160945.434
1973 July,75988.308,28728.259,39171.261,0,6960.486,22418.901,3.821,16.409,179.895,0,0,173467.339
1973 August,78365.191,30745.665,38890.546,0,7785.326,21119.68,15.159,17.704,169.592,0,0,177108.863
1973 September,71304.493,27109.009,33118.166,0,7862.383,17076.411,19.924,17.158,143.622,0,0,156651.165
1973 October,70104.344,27224.244,30688.93,0,7518.195,18210.551,18.564,19.288,169.452,0,0,153953.568
1973 November,69706.997,26124.562,23717.377,0,8142.033,19984.267,9.174,14.526,181.805,0,0,147880.743
1973 December,73352.161,25170.459,20377.565,0,8030.511,26117.573,10.907,12.949,234.424,0,0,153306.551
1974 January,73631.774,26198.955,20728.02,0,7602.79,28861.101,10.676,14.536,206.282,0,0,157254.133
1974 February,66116.767,22564.916,18941.924,0,8115.522,26535.505,3.687,13.603,182.051,0,0,142473.976
1974 March,67746.788,22136.383,23628.456,0,8777.497,27533.955,3.404,14.17,207.322,0,0,150047.975
1974 April,62866.281,19940.913,24029.361,0,7128.892,27836.249,10.355,13.612,195.253,0,0,142020.915
1974 May,67789.4,22682.163,28325.25,0,6562.335,27935.041,11.103,12.366,195.399,0,0,153513.056
1974 June,67470.507,23064.936,31727.856,0,7079.595,26602.01,9.564,17.154,189.133,0,0,156160.756
1974 July,76361.27,27725.762,37214.571,0,10209.908,26250.21,0.466,19.907,209.804,0,0,177991.897
1974 August,74759.54,27201.402,35350.593,0,12333.452,24005.689,2.967,18.074,207.135,0,0,173878.851
1974 September,65266.997,25047.795,29348.424,0,11009.752,21345.072,11.63,17.539,191.428,0,0,152238.636
1974 October,66953.772,25701.39,28263.526,0,10863.505,19985.16,1.738,14.972,194.383,0,0,151978.447
1974 November,66996.029,27758.192,22735.948,0,11004.327,21102.039,1.86,14.81,231.149,0,0,149844.354
1974 December,72473.794,30907.732,19771.16,0,13288.168,23040.135,1.072,11.411,243.295,0,0,159736.766
1975 January,74836.043,30632.234,19689.283,0,13938.354,25011.443,0.738,13.481,203.434,0,0,164325.01
1975 February,67285.094,24923.842,18049.671,0,12733.338,23885.821,1.018,10.864,193.978,0,0,147083.625
1975 March,69176.492,23122.664,20098.711,0,14881.784,27970.111,0.588,11.925,218.817,0,0,155481.091
1975 April,64453.298,21257.994,20323.206,0,13327.245,26624.339,0.195,11.265,219.194,0,0,146216.736
1975 May,64741.073,21050.282,25707.482,0,13763.765,27713.373,0.897,16.63,237.853,0,0,153231.356
1975 June,70346.207,23062.398,28830.399,0,12743.82,27142.779,2.721,18.527,295.063,0,0,162441.914
1975 July,76294.723,25132.477,34181.9,0,15372.216,25521.546,0.366,15.674,297.005,0,0,176815.907
1975 August,78882.011,27957.786,34041.236,0,15879.687,22612.189,1.506,17.748,322.05,0,0,179714.213
1975 September,68558.859,21426.066,30020.384,0,14396.011,20519.408,3.089,15.14,283.868,0,0,155222.825
1975 October,69042.72,21994.709,26300.474,0,14626.168,22638.919,2.9,15.509,327.31,0,0,154948.708
1975 November,70424.195,21614.561,21829.846,0,14164.018,24429.203,1.844,13.517,318.052,0,0,152795.235
1975 December,78745.507,26919.888,20705.816,0,16678.669,25977.509,1.689,13.289,329.548,0,0,169371.915
1976 January,83690.963,32230.754,19894.883,0,16098.884,26069.875,2.121,13.472,328.068,0,0,178329.02
1976 February,73516.196,24782.98,19163.451,0,14377.127,24520.505,1.858,13.099,308.483,0,0,156683.698
1976 March,76553.69,25436.579,21282.392,0,13992.977,26562.676,2.54,13.176,330.3,0,0,164174.331
1976 April,72559.403,23310.448,21867.164,0,10981.808,24136.743,2.203,12.176,297.457,0,0,153167.401
1976 May,72499.188,21806.959,25318.846,0,11929.39,25516.08,2.403,12.95,284.292,0,0,157370.108
1976 June,76925.845,25116.695,29715.292,0,15757.435,25562.829,2.887,15.519,295.294,0,0,173391.795
1976 July,83279.641,27011.425,32031.884,0,17708.727,26063.839,0.955,18.353,319.188,0,0,186434.013
1976 August,84206.526,28262.962,31393.084,0,18362.58,23842.603,2.946,18.515,314.275,0,0,186403.492
1976 September,75369.701,23621.906,28057.948,0,17290.311,20368.071,5.491,15.879,305.847,0,0,165035.154
1976 October,76932.19,24189.65,23909.086,0,17355.218,21040.912,5.042,16.784,297.154,0,0,163746.035
1976 November,81668.738,30074.971,21110.511,0,16134.204,19803.803,25.731,16.437,250.369,0,0,169084.765
1976 December,87188.912,34142.807,20879.37,0,21114.871,20219.118,30.209,15.717,285.681,0,0,183876.685
1977 January,89829.161,43378.623,19952.66,0,22152.064,20700.335,35.268,14.005,309.738,0,0,196371.854
1977 February,78734.95,29446.474,19480.517,0,19600.518,15149.846,39.087,12.481,270.536,0,0,162734.411
1977 March,77492.179,28368.708,22467.119,0,20672.203,19800.768,35.02,13.95,306.644,0,0,169156.59
1977 April,70866.254,25862.144,21296.921,0,19866.564,18642.068,31.562,14.222,273.459,0,0,156853.193
1977 May,77049.033,27963.903,24701.328,0,20599.284,18676.935,31.192,14.84,295.233,0,0,169331.747
1977 June,83116.515,28970.658,29621.145,0,21517.301,17226.222,30.069,14.904,290.299,0,0,180787.113
1977 July,92372.785,34893.219,32712.543,0,21824.835,16798.743,3.421,17.073,307.065,0,0,198929.684
1977 August,90730.454,32326.169,33290.504,0,22749.668,16712.186,19.466,16.463,281.44,0,0,196126.351
1977 September,82564.552,26365.748,30937.59,0,19629.992,16424.737,24.439,16.492,301.267,0,0,176264.818
1977 October,79382.484,23073.922,27355.603,0,19041.045,17188.933,27.979,16.679,315.065,0,0,166401.711
1977 November,79467.834,24862.747,22565.612,0,19458.412,20397.541,19.617,10.76,316.511,0,0,167099.034
1977 December,83612.396,32666.506,21123.315,0,23771.398,22756.199,10.515,11.401,315.079,0,0,184266.809
1978 January,85005.951,39264.223,22309.743,0,25832.949,25065.93,23.622,11.907,321.005,0,0,197835.33
1978 February,70569.646,38212.55,20370.197,0,21832.5,22210.736,22.747,10.607,275.46,0,0,173504.443
1978 March,66623.494,36958.018,22269.092,0,22448.665,24630.089,25.683,10.618,227.657,0,0,173193.317
1978 April,70327.333,24978.413,21339.11,0,17579.902,25305.707,5.501,10.156,191.95,0,0,159738.072
1978 May,76431.711,24368.349,25076.268,0,20416.17,28756.952,4.506,11.268,171.002,0,0,175236.225
1978 June,84033.019,26129.595,30618.31,0,22185.187,25121.255,5.058,9.748,210.307,0,0,188312.48
