Annual Total,Coal Imports,Coal Coke Imports,Natural Gas Imports,Crude Oil Imports,"Petroleum Products, Excluding Biofuels, Imports",Biomass Imports,Electricity Imports,Coal Exports,Coal Coke Exports,Natural Gas Exports,Crude Oil Exports,"Petroleum Products, Excluding Biofuels, Exports",Biomass Exports,Electricity Exports
1949,0.007875,0.006919,0,0.914739,0.512607,0,0.006018,0.877294,0.01359,0.020756,0.1918,0.487721,0,0.000598
1950,0.009132,0.010862,0,1.056154,0.830142,0,0.006596,0.786496,0.00987,0.026627,0.201973,0.439854,0,0.000501
1951,0.007986,0.004018,0,1.063335,0.808943,0,0.008143,1.682779,0.02547,0.025009,0.165903,0.721702,0,0.000682
1952,0.007287,0.007762,0.00808,1.244551,0.869753,0,0.00855,1.40298,0.019642,0.028417,0.154837,0.758446,0,0.00081
1953,0.006462,0.003894,0.009548,1.400759,0.884064,0,0.008315,0.980726,0.012896,0.029313,0.1156,0.726015,0,0.001462
1954,0.005127,0.002877,0.007087,1.42035,0.903264,0,0.009171,0.910509,0.009622,0.029731,0.078874,0.666377,0,0.001187
1955,0.008425,0.003125,0.011269,1.690834,1.060671,0,0.015583,1.464521,0.013169,0.032115,0.067112,0.706887,0,0.001705
1956,0.0089,0.003249,0.010743,2.022284,1.143894,0,0.017672,1.984106,0.016269,0.037222,0.166019,0.739609,0,0.002152
1957,0.0092,0.002926,0.039269,2.208923,1.252096,0,0.016568,2.174059,0.020386,0.043113,0.291409,0.906195,0,0.00428
1958,0.007777,0.003026,0.14055,2.058809,1.660297,0,0.013913,1.415843,0.009746,0.040074,0.025207,0.556375,0,0.002593
1959,0.009451,0.00305,0.13868,2.084467,1.825642,0,0.014988,1.051257,0.011408,0.019057,0.014651,0.434574,0,0.002861
1960,0.006551,0.003125,0.161094,2.19638,1.802314,0,0.018163,1.02317,0.008754,0.011729,0.017905,0.413229,0,0.002689
1961,0.004125,0.00315,0.22652,2.251133,1.941156,0,0.010816,0.980641,0.011036,0.011123,0.018717,0.35194,0,0.003127
1962,0.006003,0.003522,0.415588,2.42102,2.140652,0,0.007495,1.08291,0.009027,0.016367,0.010382,0.348183,0,0.005666
1963,0.006802,0.003794,0.418796,2.432218,2.217937,0,0.007107,1.356399,0.011185,0.017483,0.009848,0.433496,0,0.006773
1964,0.007325,0.002554,0.457512,2.580098,2.378622,0,0.021184,1.335161,0.012995,0.02023,0.007905,0.423856,0,0.014513
1965,0.0046,0.002232,0.470999,2.654379,2.747586,0,0.01214,1.376486,0.020683,0.026968,0.006363,0.385811,0,0.012622
1966,0.00445,0.002381,0.495613,2.621465,3.007361,0,0.014563,1.350634,0.02733,0.025452,0.008567,0.406247,0,0.010838
1967,0.005675,0.002282,0.582281,2.403207,3.151888,0,0.013823,1.352369,0.017608,0.084226,0.153938,0.492418,0,0.014843
1968,0.0056,0.002331,0.672093,2.756477,3.456145,0,0.012467,1.380367,0.019642,0.096651,0.010452,0.476759,0,0.014619
1969,0.002725,0.00429,0.749486,2.994714,3.908276,0,0.016725,1.534224,0.040399,0.052894,0.008329,0.476744,0,0.013069
1970,0.0009,0.003794,0.846224,2.813732,4.655914,0,0.021051,1.9355,0.061454,0.071977,0.028948,0.519893,0,0.014363
1971,0.002775,0.004315,0.963519,3.572541,4.967585,0,0.024035,1.546119,0.037423,0.082699,0.002917,0.46975,0,0.01199
1972,0.001175,0.004588,1.047022,4.711883,5.586662,0,0.035811,1.530788,0.030554,0.080119,0.001085,0.466181,0,0.009584
1973,0.003175,0.027131,1.059759,6.887305,6.578291,0,0.057484,1.4252,0.034596,0.078944,0.004043,0.481534,0,0.008769
1974,0.052,0.087792,0.985186,7.395366,5.731319,0,0.052612,1.619649,0.031694,0.078017,0.006229,0.458474,0,0.009302
1975,0.0235,0.045111,0.977786,8.720912,4.226634,0,0.038446,1.7613,0.03157,0.073692,0.012447,0.426899,0,0.017344
1976,0.030075,0.032513,0.987862,11.23855,4.433566,0,0.037493,1.596619,0.032612,0.065551,0.017058,0.451733,0,0.008115
1977,0.041175,0.045359,1.037289,14.02724,4.728285,0,0.068783,1.441875,0.030777,0.056349,0.105879,0.40765,0,0.009361
1978,0.073825,0.141906,0.994511,13.45963,4.363937,0,0.07236,1.078028,0.01718,0.053215,0.334822,0.432149,0,0.005043
1979,0.051474,0.098564,1.299758,13.825133,4.108063,0,0.076824,1.753277,0.035719,0.056397,0.497101,0.505178,0,0.007444
1980,0.02984,0.016332,1.006432,11.194854,3.463406,0,0.085373,2.420518,0.051362,0.049365,0.608623,0.550929,0,0.013974
1981,0.026084,0.013071,0.916604,9.336168,3.303253,0,0.123847,2.944069,0.02902,0.060025,0.482364,0.781322,0,0.010441
1982,0.018561,0.002976,0.950136,7.417744,3.359572,0,0.112092,2.786901,0.024632,0.052297,0.50042,1.231284,0,0.012066
1983,0.031765,0.000868,0.940449,7.078684,3.568103,0,0.131934,2.044701,0.016504,0.055185,0.347697,1.217456,0,0.011387
1984,0.032139,0.014423,0.847275,7.301744,4.131093,0,0.144052,2.151306,0.025911,0.055301,0.384151,1.160749,0,0.008729
1985,0.04881,0.014341,0.951614,6.813511,3.795703,0,0.156595,2.438129,0.027833,0.055876,0.432177,1.225223,0,0.01694
1986,0.055293,0.008155,0.748198,9.001945,4.1989,0,0.138912,2.248436,0.024909,0.061762,0.325991,1.34395,0,0.016431
1987,0.043678,0.022873,0.991539,10.066646,4.095316,0,0.178171,2.092954,0.014243,0.054614,0.318791,1.311277,0,0.02007
1988,0.053351,0.066663,1.2964,11.02713,4.719878,0,0.13251,2.49901,0.027112,0.074963,0.328934,1.412322,0,0.024111
1989,0.071278,0.057322,1.387046,12.596086,4.565476,0,0.089089,2.637312,0.026918,0.108902,0.299764,1.536364,0,0.051639
1990,0.067485,0.018966,1.550646,12.76633,4.350895,0,0.062936,2.772273,0.014189,0.087105,0.229989,1.593879,0,0.055048
1991,0.084745,0.029334,1.798139,12.553444,3.79433,0,0.074829,2.85367,0.019645,0.132088,0.245835,1.881864,0,0.007863
1992,0.095069,0.052027,2.161016,13.253408,3.714306,0,0.096377,2.681926,0.017402,0.220175,0.188342,1.819452,0,0.009644
1993,0.204524,0.053442,2.397117,14.749427,3.705985,0.000846,0.106992,1.962467,0.026333,0.142426,0.207838,1.875527,0,0.012082
1994,0.221746,0.082785,2.681564,15.339528,3.820286,0.000968,0.159795,1.878801,0.024456,0.163517,0.208918,1.752734,0,0.006858
1995,0.236828,0.094739,2.90071,15.669254,3.130523,0.001342,0.146216,2.318168,0.033678,0.155814,0.200154,1.775718,0,0.012361
1996,0.202882,0.063044,3.002036,16.341399,3.8744,0.001086,0.14841,2.368031,0.040233,0.15508,0.233224,1.804717,0,0.011266
1997,0.187169,0.077844,3.063039,17.875688,3.768382,0.000295,0.146823,2.193135,0.031405,0.158733,0.227986,1.851516,0,0.030619
1998,0.218092,0.095094,3.224555,18.916158,3.883572,0.000229,0.13482,2.091677,0.027999,0.160756,0.232592,1.677125,0,0.046596
1999,0.227233,0.079953,3.664386,18.935152,4.097107,0.000302,0.147449,1.525108,0.022261,0.164395,0.24958,1.658918,0,0.048525
2000,0.312816,0.093778,3.86858,19.782784,4.641097,0.000402,0.165797,1.527552,0.028414,0.245178,0.106442,2.003472,0,0.050598
2001,0.494682,0.062633,4.068409,20.347647,4.945915,0.001526,0.131363,1.26522,0.033373,0.377011,0.042839,1.956242,0.000218,0.056207
2002,0.421886,0.080395,4.103803,19.920301,4.676549,0.002119,0.12549,1.032088,0.019637,0.520363,0.019111,1.962838,0.000308,0.053895
2003,0.626099,0.068415,4.042343,21.060345,5.104507,0.001531,0.103706,1.117147,0.0179,0.686042,0.026315,2.083317,0.000608,0.081802
2004,0.682,0.170463,4.365022,22.082229,6.062989,0.012823,0.116725,1.253129,0.032701,0.861825,0.056739,2.068154,0.000684,0.078128
2005,0.761509,0.087526,4.44956,22.090819,7.107606,0.012361,0.149887,1.273227,0.043335,0.735158,0.067389,2.276295,0.00114,0.065343
