U.S. Natural Gas Citygate Price,
http://www.eia.gov/dnav/ng/hist/n3050us3m.htm,
13:14:35 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,U.S. Natural Gas Citygate Price  Dollars per Thousand Cubic Feet
Dec-12,3.35
Nov-12,3.35
Oct-12,3.03
Sep-12,2.71
Aug-12,2.86
Jul-12,2.59
Jun-12,2.54
May-12,1.94
Apr-12,1.89
Mar-12,2.25
Feb-12,2.46
Jan-12,2.89
Dec-11,3.14
Nov-11,3.35
Oct-11,3.62
Sep-11,3.82
Aug-11,4.2
Jul-11,4.27
Jun-11,4.2
May-11,4.12
Apr-11,4.05
Mar-11,3.95
Feb-11,4.34
Jan-11,4.37
Dec-10,4.68
Nov-10,4.12
Oct-10,4.05
Sep-10,3.83
Aug-10,4.38
Jul-10,4.44
Jun-10,4.27
May-10,4.24
Apr-10,4.1
Mar-10,4.7
Feb-10,5.3
Jan-10,5.69
Dec-09,4.66
Nov-09,4.2
Oct-09,3.83
Sep-09,2.98
Aug-09,3.37
Jul-09,3.45
Jun-09,3.38
May-09,3.23
Apr-09,3.18
Mar-09,3.38
Feb-09,3.7
Jan-09,4.6
Dec-08,5.94
Nov-08,5.23
Oct-08,5.64
Sep-08,6.71
Aug-08,8.21
Jul-08,10.79
Jun-08,10.36
May-08,9.96
Apr-08,8.87
Mar-08,8.63
Feb-08,8.02
Jan-08,7.38
Dec-07,6.87
Nov-07,6.46
Oct-07,5.78
Sep-07,5.3
Aug-07,5.76
Jul-07,6.21
Jun-07,6.62
May-07,6.75
Apr-07,6.26
Mar-07,6.65
Feb-07,6.8
Jan-07,5.7
Dec-06,6.76
Nov-06,6.71
Oct-06,5.09
Sep-06,6.06
Aug-06,6.55
Jul-06,5.91
Jun-06,5.77
May-06,6.23
Apr-06,6.37
Mar-06,6.43
Feb-06,6.85
Jan-06,8.01
Dec-05,9.08
Nov-05,9.89
Oct-05,10.33
Sep-05,8.95
Aug-05,6.48
Jul-05,6.71
Jun-05,6.09
May-05,6.25
Apr-05,6.57
Mar-05,5.95
Feb-05,5.73
Jan-05,5.8
Dec-04,6.01
Nov-04,6.21
Oct-04,5.43
Sep-04,5.06
Aug-04,5.52
Jul-04,5.62
Jun-04,5.82
May-04,5.4
Apr-04,5.03
Mar-04,5.12
Feb-04,5.02
Jan-04,5.21
Dec-03,4.76
Nov-03,4.26
Oct-03,4.32
Sep-03,4.59
Aug-03,4.46
Jul-03,5.08
Jun-03,5.41
May-03,4.77
Apr-03,4.47
Mar-03,6.96
Feb-03,5.05
Jan-03,4.43
Dec-02,3.96
Nov-02,3.59
Oct-02,3.24
Sep-02,2.97
Aug-02,2.76
Jul-02,2.92
Jun-02,2.96
May-02,2.94
Apr-02,2.94
Mar-02,2.4
Feb-02,2.19
Jan-02,2.5
Dec-01,3.42
Nov-01,3.41
Oct-01,2.78
Sep-01,2.93
Aug-01,3.33
Jul-01,3.35
Jun-01,3.79
May-01,4.36
Apr-01,4.52
Mar-01,4.37
Feb-01,5.08
Jan-01,6.82
Dec-00,5.77
Nov-00,4.4
Oct-00,4.58
Sep-00,4.26
Aug-00,3.73
Jul-00,3.84
Jun-00,3.77
May-00,3.04
Apr-00,2.86
Mar-00,2.66
Feb-00,2.73
Jan-00,2.6
Dec-99,2.24
Nov-99,2.68
Oct-99,2.52
Sep-99,2.62
Aug-99,2.51
Jul-99,2.2
Jun-99,2.14
May-99,2.17
Apr-99,1.9
Mar-99,1.7
Feb-99,1.77
Jan-99,1.85
Dec-98,1.95
Nov-98,1.94
Oct-98,1.86
Sep-98,1.7
Aug-98,1.82
Jul-98,2.09
Jun-98,1.91
May-98,2.04
Apr-98,2.16
Mar-98,2.06
Feb-98,1.96
Jan-98,1.96
Dec-97,2.28
Nov-97,2.92
Oct-97,2.68
Sep-97,2.33
Aug-97,2.08
Jul-97,2
Jun-97,2.08
May-97,2
Apr-97,1.81
Mar-97,1.79
Feb-97,2.49
Jan-97,3.4
Dec-96,3.26
Nov-96,2.5
Oct-96,1.94
Sep-96,1.85
Aug-96,2.1
Jul-96,2.25
Jun-96,2.08
May-96,2.01
Apr-96,2.08
Mar-96,1.95
Feb-96,1.89
Jan-96,2.05
Dec-95,1.84
Nov-95,1.61
Oct-95,1.54
Sep-95,1.52
Aug-95,1.43
Jul-95,1.43
Jun-95,1.58
May-95,1.55
Apr-95,1.52
Mar-95,1.47
Feb-95,1.48
Jan-95,1.62
Dec-94,1.88
Nov-94,1.75
Oct-94,1.7
Sep-94,1.78
Aug-94,1.83
Jul-94,1.81
Jun-94,1.8
May-94,2
Apr-94,1.91
Mar-94,1.93
Feb-94,1.88
Jan-94,1.93
Dec-93,2.15
Nov-93,2.03
Oct-93,2.02
Sep-93,2.09
Aug-93,2.04
Jul-93,1.99
Jun-93,1.98
May-93,2.18
Apr-93,2.06
Mar-93,2
Feb-93,1.76
Jan-93,2.03
Dec-92,2.07
Nov-92,2.13
Oct-92,2.38
Sep-92,1.92
Aug-92,1.84
Jul-92,1.55
Jun-92,1.62
May-92,1.51
Apr-92,1.42
Mar-92,1.35
Feb-92,1.26
Jan-92,1.74
Dec-91,2
Nov-91,1.89
Oct-91,1.82
Sep-91,1.59
Aug-91,1.43
Jul-91,1.34
Jun-91,1.43
May-91,1.48
Apr-91,1.5
Mar-91,1.49
Feb-91,1.62
Jan-91,1.96
Dec-90,2.04
Nov-90,1.94
Oct-90,1.76
