Month,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Fossil Fuels Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
1973 January,1.166191,2.397308,3.187661,0.068103,0.272703,0.001491,0,0,0.129787,6.750044,0.403981,7.226265
1973 February,1.050588,2.170646,2.944328,0.064634,0.242199,0.001363,0,0,0.117338,6.165438,0.3609,6.594709
1973 March,1.046856,2.057315,2.945244,0.072494,0.26881,0.001412,0,0,0.129938,6.047406,0.400161,6.524198
1973 April,0.998979,1.873535,2.623922,0.06407,0.253185,0.001649,0,0,0.125636,5.495792,0.38047,5.944336
1973 May,1.014502,1.765309,2.839178,0.062111,0.26077,0.001537,0,0,0.129834,5.616162,0.392141,6.074551
1973 June,1.050077,1.566214,2.73407,0.073968,0.249859,0.001763,0,0,0.125611,5.350114,0.377232,5.805318
1973 July,1.110438,1.590718,2.807129,0.07589,0.23567,0.001869,0,0,0.129787,5.507145,0.367325,5.954498
1973 August,1.135679,1.615222,3.002149,0.084883,0.222077,0.001762,0,0,0.129918,5.751587,0.353757,6.194365
1973 September,1.057732,1.559067,2.763705,0.085724,0.179733,0.001492,0,0,0.125782,5.379314,0.307006,5.776048
1973 October,1.083177,1.743868,2.939112,0.081971,0.191723,0.00176,0,0,0.12997,5.767893,0.323453,6.177455
1973 November,1.08859,1.945005,3.056472,0.088773,0.210285,0.001889,0,0,0.125643,6.091283,0.337817,6.521876
1973 December,1.16868,2.227822,2.994463,0.087557,0.274435,0.002435,0,0,0.129824,6.391312,0.406694,6.889701
1974 January,1.145845,2.28352,2.947573,0.084855,0.304506,0.002154,0,0,0.130807,6.380707,0.437467,6.906707
1974 February,1.036439,2.103296,2.680411,0.090577,0.27995,0.001901,0,0,0.118091,5.823097,0.399942,6.316938
1974 March,1.050801,2.051072,2.74319,0.097966,0.290582,0.002165,0,0,0.130727,5.848733,0.423474,6.373851
1974 April,0.994963,1.731584,2.627335,0.079566,0.293702,0.002039,0,0,0.126583,5.358297,0.422323,5.863745
1974 May,1.029181,1.646592,2.681635,0.073242,0.294828,0.00204,0,0,0.130789,5.362567,0.427657,5.867145
1974 June,1.014433,1.473536,2.661555,0.079015,0.280695,0.001975,0,0,0.126611,5.152896,0.409281,5.644753
1974 July,1.110438,1.550336,2.796344,0.113953,0.276772,0.002191,0,0,0.130756,5.460689,0.409719,5.988038
1974 August,1.112559,1.54624,2.828187,0.137654,0.253175,0.002163,0,0,0.130763,5.49083,0.386101,6.018263
1974 September,1.005508,1.573888,2.647546,0.12288,0.225274,0.001999,0,0,0.126637,5.233464,0.35391,5.713814
1974 October,1.051737,1.746944,2.908574,0.121248,0.210955,0.00203,0,0,0.130718,5.716331,0.343703,6.18496
