Report generated on: 09-17-2020 15:41:27
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-WORL-MMTCD.A","    World","18746.26768728","18453.956682801","18429.573200396","18590.527017366","19955.745330244","20409.594984308","20938.653813094","21541.035262885","22256.634237434","22470.942487425","22916.705159711","22079.912497305","21875.222173077","22011.679496386","22209.608337624","22736.139072497","23216.225381619","23318.745907594","23400.811357577","23814.729148724","24597.059576728","24849.740453497","25419.429034534","26639.382003908","27915.906450314","29047.991098652","30025.718800317","30390.353172342","31154.135935207","30922.135246327","32718.449676676","34031.438037995","34859.788749922","35556.80051819","35622.401241152","35667.288966511","35677.285905815","36060.859266185"
"INTL.4008-8-AFG-MMTCD.A","        Afghanistan","1.325964518","1.509627735","1.65960468","2.05960468","2.065436114","2.093515917","2.311010238","3.646724197","6.056769431","6.024286809","5.92606127","2.693772146","1.704078481","1.60213467","1.599940882","1.301904405","1.357036213","1.255092401","1.255092401","1.25314859","1.15314859","0.848627166","0.838908091","0.707268691","0.705324879","0.80338105","0.707268691","1.160454789","1.472591437","6.230759779","7.787636497","11.015396519","9.664709996","7.835560416","7.096558352","7.740109649","7.268020195","9.436207297"
"INTL.4008-8-ALB-MMTCD.A","        Albania","9.618526443","9.533068754","9.594264089","9.981384922","10.126808525","10.0889756","10.154938253","9.828093154","9.947021235","9.313159899","6.830767471","4.756773444","3.901887072","2.890830614","2.328545725","2.463792824","2.019993454","1.958150007","2.331577525","2.926687179","3.264885015","3.579188626","3.750334112","4.250580252","4.34589999","4.637862199","4.612171035","3.173018993","4.525969914","3.02339894","3.94856034","4.040021163","3.601632027","4.196660482","4.417618238","3.642243734","3.709027205","4.555307493"
"INTL.4008-8-DZA-MMTCD.A","        Algeria","45.697024547","39.457804027","58.682281584","63.5361366","67.14655426","62.136293357","62.041508489","65.777907009","70.294656212","67.577114103","69.568918689","76.785972773","74.721131079","68.361231899","70.606201475","72.852321142","70.602246441","67.245943085","70.93946609","70.908277057","69.720392828","71.025310106","73.50653982","73.291335424","72.641559464","83.789975135","87.408394044","88.229401719","57.1790618","99.350300881","101.356811087","112.489484683","122.011132798","118.718105864","131.729914307","138.856923258","137.189994243","142.315117813"
"INTL.4008-8-ASM-MMTCD.A","        American Samoa","0.40232","0.5","0.6","0.4","0.5","0.4","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.610231584","0.7","0.6","0.6","0.356091186","0.356783358","0.35560056","0.355245915","0.355046495","0.355426","0"
"INTL.4008-8-AGO-MMTCD.A","        Angola","3.390313036","3.388842904","3.5555033","3.86660396","3.36660396","4.32215429","4.57770462","4.68880528","4.89990594","4.73325495","4.855407096","5.0110066","5.218203145","5.098585546","4.919904059","5.298585546","5.098585546","5.718203145","4.837820744","5.698585546","5.418203145","7.339732749","7.81629114","8.275143938","8.571319928","8.475143938","9.433996735","10.42826072","10.833996735","12.353614334","16.434704769","17.299774448","18.379759527","20.113909041","21.743562538","22.910923406","22.558898703","19.379906135"
"INTL.4008-8-ATA-MMTCD.A","        Antarctica","0.14064","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.2","0.2","0.014352207","0.014382064","0.01434261","0.014342885","0.014228501","0.01422098","0"
"INTL.4008-8-ATG-MMTCD.A","        Antigua and Barbuda","0.40738","0.4","0.5","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.690569119","0.7","0.7","0.7","0.690076094","0.707217069","0.705863443","0.719317413","0.751413","0.762758","0.737716"
"INTL.4008-8-ARG-MMTCD.A","        Argentina","93.306519967","90.995689606","94.225620787","94.591036739","98.470406813","92.488815436","104.600087349","105.693158992","108.897616334","107.54920505","99.445579839","104.289272439","105.674415663","116.015446448","112.553728964","115.4439354","123.35738436","125.943822424","133.889326354","139.643384894","137.981994649","127.448609471","119.309088482","133.082552676","140.562046131","152.247215358","156.321349053","158.118655101","169.118031017","167.822330856","186.692598609","190.985671382","195.588324594","196.957764504","197.612725337","214.508552373","213.770048877","210.132715388"
"INTL.4008-8-ARM-MMTCD.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","11.037873824","6.827802186","6.012380985","7.080611438","8.064381836","7.474364797","7.861570353","7.740808861","8.37107762","8.550320125","8.242007661","8.795122691","9.012392623","10.236414291","10.237285391","11.154196706","11.091337127","10.041461624","4.775166402","5.28985575","6.079670128","5.858611801","6.031251022","5.098251037","5.35878519","5.808635284"
"INTL.4008-8-ABW-MMTCD.A","        Aruba","--","--","--","--","--","--","0.1","0.1","0.4","0.6","0.6","0.6","0.7","0.7","0.8","0.9","0.6","0.9","0.9","0.9","1","1","1","1","1","1","1.1","1.024105112","1.1","1","1.1","0.991091715","1.259022487","1.19798201","1.213408516","1.221647","1.201636","1.209296"
"INTL.4008-8-AUS-MMTCD.A","        Australia","197.379729497","199.533481553","204.5966102","200.358260937","221.491053565","232.701715282","235.445424215","246.769322623","254.203775275","269.818285963","274.675440631","272.45240575","279.107301666","284.1801118","288.783071222","296.725031828","311.442997346","319.364076851","333.535660592","341.611043804","343.781234003","354.548911781","361.466666061","361.527677823","372.393710809","383.369444909","390.260233881","406.07900213","401.378563198","413.584073216","395.353292057","394.502593054","397.693180623","390.609135192","382.764476779","395.8071051","404.236691216","411.102272339"
"INTL.4008-8-AUT-MMTCD.A","        Austria","56.701285084","53.07367081","50.703643883","50.187847979","56.284143423","56.733828277","54.261890902","55.551156632","53.581442053","54.271890919","59.634286827","63.995303957","58.669680197","58.775703592","58.937117187","62.377701983","67.726063265","67.320005928","67.262531601","66.532529822","65.586315156","70.548610712","71.057879532","76.606191683","78.536514284","81.703998634","79.503276511","76.091300472","75.280965326","68.568736853","74.234845604","70.764908586","68.673520879","68.859078484","65.134437438","66.898771286","67.659554523","69.073111644"
"INTL.4008-8-AZE-MMTCD.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","58.097629015","50.589072783","46.442846564","45.670271009","39.249112926","37.977024836","34.976128051","35.781064726","31.114681472","31.18865281","34.481329673","33.849421767","36.380106573","37.238314371","40.058521116","31.148464861","34.526307355","29.161805959","31.498371662","31.582611628","34.817182005","33.076432905","34.057825496","33.727037858","33.119407039","33.014086202"
"INTL.4008-8-BHR-MMTCD.A","        Bahrain","7.759153","8.8660396","9.3215429","9.8770462","9.58819389","11.41025412","12.1990594","14.75442161","12.61016006","13.03236138","14.287882779","15.94322689","13.536562689","15.986850564","15.831580133","15.931580133","15.888762569","18.435226434","19.462989604","20.298400792","20.312282377","20.759663145","21.858248691","22.472130276","23.127159064","25.310448571","27.826739712","28.546264819","30.545440408","30.882763601","31.351673973","32.885320596","34.991926707","38.720921492","38.511888511","38.815487511","39.162568161","40.268237631"
"INTL.4008-8-BGD-MMTCD.A","        Bangladesh","7.108874664","7.767241536","8.227682554","7.806369514","9.286325204","9.788802941","11.13793219","11.890088555","12.992171242","13.932155501","13.599761522","14.697567299","16.435079166","18.683205328","20.383692174","22.704186061","22.800692336","23.789204162","24.213982029","26.785014663","29.112464631","32.295008835","34.783828246","37.367395265","39.469876196","41.580472554","45.056762914","46.377362127","51.497144659","56.347602781","55.595803597","58.181181693","63.384862665","64.941870815","68.038418821","73.545890668","79.072673995","82.119577351"
"INTL.4008-8-BRB-MMTCD.A","        Barbados","0.970850132","1.022220132","1.022220132","1.122220132","1.022220132","1.122220132","1.322220132","1.222220132","1.149995297","1.25555033","1.266699837","1.364738077","1.394164475","1.392202715","1.290240956","1.392202715","1.088279196","1.484355676","1.472585116","1.592202715","1.674374634","1.662776317","1.656891037","1.656891037","1.158852797","1.551695148","1.45270089","1.409851156","1.43339064","1.532032888","1.431680878","1.926933182","1.810688761","1.852327062","1.609840058","1.711547679","1.73882031","1.708792648"
"INTL.4008-8-BLR-MMTCD.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","90.212711921","80.829557192","66.464800782","61.834121665","60.111519039","57.915041789","55.838559778","57.085405325","58.8060073","53.65521788","50.421387143","55.418628218","54.376172748","63.892844849","66.208935986","59.47079537","66.696716537","60.853689802","63.428489963","67.636399206","68.148097893","65.015590635","66.166578088","60.019467738","59.3984051","60.79000029"
"INTL.4008-8-BEL-MMTCD.A","        Belgium","141.062975171","124.682076676","117.857755855","107.414011623","120.082950924","118.385236127","120.780422605","122.918235463","126.567092644","128.809063335","132.13771002","136.841376906","134.714541078","132.046733543","143.000380018","143.810329305","151.013826159","148.78512136","154.162319549","148.739567096","152.950674386","152.012831956","149.208137757","154.796190205","156.0615918","153.606813529","151.260290951","151.375634163","157.746504388","139.57393831","150.626586548","137.079948826","133.806102383","136.917605234","129.264779122","133.969603287","136.175189459","137.835701458"
"INTL.4008-8-BLZ-MMTCD.A","        Belize","0.2255","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.7","0.9","0.8","0.8","0.9","1","1","1.073313812","1","0.5","0.5","0.423049876","0.476432412","0.516362349","0.505700203","0.597846","0.591488","0.579877"
