Report generated on: 09-17-2020 15:59:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","coal production (Mst)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-1-WORL-TST.A","    World","4158801.4647405925","4186738.3385901833","4352152.303269818","4390425.982307081","4622296.892130256","4839823.089613622","4959353.594214818","5082878.218817492","5195249.202480766","5274727.1060339995","5281983.334365093","5005330.285479995","4898373.438018346","4784499.912941223","4871804.281619962","4954878.46385705","5071931.927817012","5071948.413609335","5044172.286191947","4980794.727276667","5126950.831773991","5361418.122792327","5416738.200140148","5806078.6522786105","6250315.449474467","6644453.14326472","6987676.877346845","7286833.213092655","7522568.729957156","7628999.3877337035","8099273.336521501","8639079.149145653","8963980.555004617","9048810.696714776","8978193.621991897","8727856.237688385","8159542.370654619","8449263.767636966",""
"INTL.7-1-AFG-TST.A","        Afghanistan","131.17505","137.78892","159.83515","159.83515","163.14208","166.44902","176.36982","184.086","152.11897","139.99354","115.74269","103.61727","8.81849","7.71618","6.61387","5.51156","3.30693","2.20462","2.20462","1.10231","1.10231","28.6601","23.14854","38.5809","37.47859","36.37627","38.5809","267.86166","382.50204","551.15568","799.17574","1631.4188","1366.8644","1484.81157","1672.645194","1504.65315","1871.72238","2415.16121","2695.14795"
"INTL.7-1-ALB-TST.A","        Albania","1563.07751","1697.55949","1873.92931","2039.27602","2215.64583","2369.96942","2388.70872","2352.33244","2407.44801","2417.36881","2282.88401","1198.21097","403.44546","235.89434","186.29039","88.1848","124.56103","42.99009","54.01319","54.01319","33.0693","23.14851","16.53465","63.93398","63.93398","49.60395","49.60395","49.60395","67.24091","11.0231","11.0231","5.51155","7.71617","9.92079","18.35346","26.78613","15.43234","16.86395","14.332921363276"
"INTL.7-1-DZA-TST.A","        Algeria","3.30693","10.471945","17.63696","24.801975","25.0775525","25.35313","12.12541","10.471945","11.02311","9.920795","11.8498425","13.77889","16.53467","22.04623","25.35313","24.25085","13.22774","12.12541","6.062715","0.99208799999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ASM-TST.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AGO-TST.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ATA-TST.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ATG-TST.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ARG-TST.A","        Argentina","429.9009","548.95038","567.68965","535.72266","561.07579","440.924","401.24084","411.16163","564.38272","566.58734","304.23756","321.87452","222.66662","185.18808","382.50157","336.20455","341.7161","276.67981","319.6699","370.37616","285.49829","205.029660000003","50.70626","98.10559","56.21781","105.82176","155.425710000003","121.2541","177.471909999997","159.283794999994","141.095679999999","122.907564999999","104.71945","91.49173","62.83167","37.47854","29.31818863659","30.78019",""
"INTL.7-1-ARM-TST.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ABW-TST.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AUS-TST.A","        Australia","115195.80424","133349.74763","139098.29428","152683.16272","162789.1408","177169.87706","189058.29041","214906.3576","193590.98913","215457.5126","225490.73822","242074.99217","251700.36309","249193.71015","248462.87862","266546.27417","272434.81419","291514.69798","316749.88081","320774.41462","338102.72782","362855.09887","374672.96438","376616.33690999995","386143.60224","408505.0629","412983.74843","431046.20009","432382.19981","449630.0443799999","467823.14561","461799","492786.00000001","521124.00000000006","555811.62409","556119.52078541","554763.96294","550567.4687699999","532562.33723"
"INTL.7-1-AUT-TST.A","        Austria","3158.11815","3374.17091","3634.31607","3352.12471","3227.56368","3396.21711","3272.75839","3071.03566","2346.81799","2277.37246","2698.45488","2293.90711","1952.19101","1864.00621","1509.06239","1429.69607","1221.35948","1245.6103","1256.6334","1253.32647","1376.78519","1329.38586","1556.46172","1269.86112","259.04285","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AZE-TST.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BHR-TST.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGD-TST.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.60576382","71.21473755","196.21118","333.99993","427.69628","746.26387","912.71268","777.12855","735.24077","920.42885","942.47505","1043.88757","745.16156","1126.56082","1279.78191",""
"INTL.7-1-BRB-TST.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BLR-TST.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEL-TST.A","        Belgium","6971.00844","6818.88966","7248.79056","6745.03489","6990.85002","6875.10747","6200.49375","4817.0947","2741.44497","2086.67283","1141.99316","698.86454","240.30358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BLZ-TST.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEN-TST.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BMU-TST.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
