Report generated on: 09-17-2020 15:57:51
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","electricity net generation (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-WORL-BKWH.A","    World","8017.580363623","8072.967338026","8254.632487372","8593.05068568","9084.093366921","9459.937120447","9656.19495201","10095.939667189","10528.871178116","11057.936086909","11303.643337","11543.239885","11624.261204","11897.078096","12173.541388","12607.915362","12990.551621","13316.897283","13669.912498","14010.24581","14656.882243","14909.07294903","15424.07764606","15960.44780401","16727.64896351","17374.98274996","18068.93062772","18922.84912449","19207.10286994","19145.49872713","20416.30309953","21133.0381268","21565.68385954","22279.23796817","22687.82521559","23133.26938914","23768.802804","24321.51965928","NA","",""
"INTL.2-12-AFG-BKWH.A","        Afghanistan","0.942","0.992","0.952","1","1.019","1.034","1.135","1.218","1.08","1.089","1.098","0.989","0.685","0.677","0.669","0.608","0.549","0.499","0.46","0.455","0.467","0.592","0.687","0.939","0.894","0.934","0.837","0.946","0.72801","0.9381","0.9363","0.8473","0.912","1.052","1.081","1.166","1.21","1.256","NA","",""
"INTL.2-12-ALB-BKWH.A","        Albania","3.635","3.673","3.692","3.71","3.737","3.783","3.814","4.236","3.93","4.081","3.141","3.641","3.31","3.441","3.858","4.359","5.857","5.125","5.01","5.337","4.683","3.648","3.641","5.218","5.543","5.385","5.038","2.828","3.759","5.201","7.6745","4.0918","4.7259","6.96","4.727","5.867","7.138","4.481","NA","",""
"INTL.2-12-DZA-BKWH.A","        Algeria","6.683","7.65","8.824","9.615","10.537","11.569","12.214","13.014","14.08","14.449","15.145","16.319","17.199","18.267","18.703","18.09","19.124","19.739","21.448","23.282","23.89","25.031","25.992","27.81","29.387","31.907","33.124","34.976","37.836","36.206","42.9981","48.278","54.177","56.506","60.599","64.78644","66.86222","71.48302","NA","",""
"INTL.2-12-ASM-BKWH.A","        American Samoa","0.07","0.067","0.067","0.071","0.069","0.083","0.075","0.081","0.091","0.09","0.094","0.102","0.102","0.115","0.122","0.129","0.134","0.141","0.147","0.152","0.159","0.161","0.168","0.177","0.177","0.178","0.181","0.184","0.187","0.178","0.159","0.155","0.157","0.156","0.156","0.163","0.17","0.167","NA","",""
"INTL.2-12-AGO-BKWH.A","        Angola","0.905","0.906","0.995","1.028","1.028","1.028","1.088","1.097","1.097","1.104","1.169","1.166","1.283","1.332","1.342","1.347","1.377","1.331","1.52","1.3","1.404","1.591","1.717","1.938","2.186","2.73","3.241","3.149","4.064","4.606","5.317","5.523","6.034","7.976","9.217","9.30914","10.20324","10.67604","NA","",""
"INTL.2-12-ATA-BKWH.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002","0.002","0.004","0.004","0.004","0.001","0.001","0.001","0.001","0.001","0","0","",""
"INTL.2-12-ATG-BKWH.A","        Antigua and Barbuda","0.056","0.059","0.062","0.068","0.071","0.072","0.081","0.085","0.086","0.088","0.089","0.089","0.089","0.089","0.091","0.092","0.092","0.093","0.095","0.095","0.141","0.161","0.18","0.198","0.208","0.228","0.243","0.263","0.271","0.308","0.3192","0.3185","0.3105","0.3106","0.3166","0.325","0.329","0.331","NA","",""
"INTL.2-12-ARG-BKWH.A","        Argentina","41.858","40.495","41.086","41.641","44.023","43.693","47.192","50.178","49.243","48.01","45.561","48.721","53.439","58.909","60.305","64.671","66.74","69.55","71.231","76.942","85.196","86.485","81.131","88.127","95.634","100.692","111.274","110.6431","114.5421","116.0151","119.2901","123.577","129.105","132.59","131.62","137.80938","139.48328","138.35975","NA","",""
"INTL.2-12-ARM-BKWH.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","8.615","6.131","5.494","5.038","5.835","5.656","5.822","5.561","5.618","5.568","5.215","5.212","5.904","5.978","5.617","5.585","5.466","5.378","6.176","7.071","7.622","7.306","7.334","7.39194","6.95114","7.36168","NA","",""
"INTL.2-12-ABW-BKWH.A","        Aruba","--","--","--","--","--","--","0.274","0.299","0.308","0.334","0.318","0.319","0.321","0.499","0.53","0.579","0.603","0.635","0.686","0.694","0.73","0.76","0.775","0.791","0.813","0.855","0.854","0.88","0.859","0.899","0.8901","0.8825","0.868","0.895","0.893","0.927","0.905","0.921","NA","",""
"INTL.2-12-AUS-BKWH.A","        Australia","87.393","92.911","96.736","98.048","103.716","110.425","116.272","121.915","130.92","139.221","146.187","148.367","150.759","154.646","158.368","163.841","168.068","173.354","185.41","191.63","197.95","211.522","214.623","213.541","222.987","215.489","219.83","229.391","229.45","234.698","238.725","239.981","237.283","236.117","234.635","238.13674","242.9121","244.54328","248.78018","",""
"INTL.2-12-AUT-BKWH.A","        Austria","40.574","41.233","41.458","41.191","40.97","43.033","43.295","38.842","47.491","48.426","47.73","49.507","49.492","50.088","50.71","53.733","52.019","54.272","54.62","57.615","57.92","58.937","58.404","55.505","59.307","61.303","59.453","60.173","61.974","63.597","63.144","57.632","63.841","60.0034","56.9144","57.20426","60.8995","62.4025","61.07304","",""
"INTL.2-12-AZE-BKWH.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","18.58","18.074","16.609","16.1","16.14","15.912","17.015","17.162","17.654","17.896","18.472","20.131","20.482","20.095","22.32","20.654","20.456","17.85","17.76","19.21","21.7","22.035","23.32","23.30046","23.56728","22.96136","23.82038","",""
