Report generated on: 09-19-2020 19:43:49
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","electricity installed capacity (million kW)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-7-WORL-MK.A","    World","1979.126","2067.576","2142.483","2212.114","2308.138","2393.526","2465.601","2536.601","2605.129","2686.41","2737.416","2773.968","2831.953","2900.775","2970.4","3023.677","3100.833","3165.413","3217.108","3288.04","3455.04","3557.4904","3695.8989","3844.4869","3971.7823","4110.0189","4302.85391","4473.99943","4635.17462","4828.13853","5067.91225","5295.86707","5521.0449","5743.9544","5979.5722","6242.8681","6536.8468","6800.1513","NA",""
"INTL.2-7-AFG-MK.A","        Afghanistan","0.374","0.427","0.427","0.45","0.45","0.47","0.47","0.489","0.489","0.494","0.494","0.494","0.494","0.494","0.494","0.494","0.492","0.492","0.492","0.497","0.407","0.498","0.491","0.489","0.489","0.524","0.514","0.514","0.521","0.594","0.59417","0.57117","0.5871","0.6011","0.5861","0.5871","0.6341","0.6364","NA",""
"INTL.2-7-ALB-MK.A","        Albania","0.595","0.62","0.64","0.69","0.71","0.735","0.76","0.767","0.777","0.777","1.892","1.892","1.892","1.892","1.892","1.669","1.684","1.684","1.684","1.684","1.684","1.6691","1.6692","1.7792","1.6692","1.5922","1.5922","1.5922","1.5732","1.4502","1.4614","1.509","1.726","1.88","1.824","1.897","2.012","2.119","NA",""
"INTL.2-7-DZA-MK.A","        Algeria","2.306","2.809","3.187","3.436","3.546","3.736","3.836","3.936","4.656","4.657","4.657","5.369","5.369","5.814","6.007","6.007","6.039","6.04","6.044","6.044","6.398","6.4","6.835","6.845","7.251","7.499","7.899","8.134","8.134","11.327","11.327","11.447","13.023","15.027","15.881","17.119","19.079","19.452","NA",""
"INTL.2-7-ASM-MK.A","        American Samoa","0.03","0.032","0.029","0.025","0.025","0.031","0.031","0.031","0.033","0.033","0.033","0.033","0.033","0.033","0.035","0.035","0.035","0.035","0.035","0.035","0.05","0.058","0.058","0.058","0.06","0.045","0.045","0.045","0.045","0.045","0.045","0.041","0.043","0.043","0.043","0.044","0.046","0.046","NA",""
"INTL.2-7-AGO-MK.A","        Angola","0.6","0.6","0.6","0.6","0.6","0.6","0.605","0.617","0.617","0.617","0.617","0.617","0.617","0.617","0.617","0.708","0.596","0.596","0.596","0.586","0.586","0.635","0.665","0.665","0.831","0.831","0.843","1.446","1.462","1.462","1.469","1.583","1.656","1.718","1.785","2.106","2.613","3.763","NA",""
"INTL.2-7-ATA-MK.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.002","0.002","0.002","0.002","0.0016","0.0016","0","0",""
"INTL.2-7-ATG-MK.A","        Antigua and Barbuda","0.024","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.026","0.027","0.027","0.027","0.027","0.027","0.027","0.055","0.055","0.055","0.055","0.055","0.0551","0.0843","0.0844","0.1204","0.123","0.123","0.124","0.124","NA",""
"INTL.2-7-ARG-MK.A","        Argentina","12.909","13.445","14.163","15.208","15.975","16.172","16.51","16.517","16.972","17.095","17.112","17.391","17.243","18.115","19.199","20.168","20.522","21.708","23.166","23.423","26.418","28.028","28.237","28.973","28.673","28.747","28.799","29.579","31.474","32.563","33.361","33.502","35.588","35.726","37.4","39.299","39.075","39.169","NA",""
