Report generated on: 09-18-2020 10:45:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","        Gross natural gas (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-1-WORL-BCF.A","            Dry natural gas (bcf)","53377.719","54740.061","54563.957","55146.063","60028.777","62298.253","63578.73","66582.381","69845.421","72157.245","73386.85596","74612.47077436338","74901.80363441739","76205.922235","76842.047485","77966.43163996657","80175.84474641834","80299.42351","81734.66966","83641.931535","86770.33126434097","88406.83110315187","90343.66272223619","93124.69262526926","95471.38132304464","98597.6231273104","102382.84776700556","104755.84242827316","108045.02579806112","105910.17823284456","113107.98807034577","116900.33271912536","119503.88997319275","120749.51038958161","122554.0455409522","124658.85984647214","126053.67105968215","130018.22006998166","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-WORL-BCF.A","            Dry natural gas (bcf)","52939.215173","53524.676754","53643.143702","54635.214271","59687.504273","62159.58202599999","63140.94674599999","66249.865107","69563.731422","72662.40293999999","73277.86601773543","75034.07773044765","75252.65903914487","77202.44960347975","76953.29589508881","78968.55386819867","80785.91560841833","81170.2604655","81681.804859","83767.690984","86985.89933334096","87174.6268285","91206.66195688405","93717.74608385915","96418.82643035677","99106.86430562811","102523.49504823287","105993.03817303151","109132.89200906112","105513.78439370172","115456.89983410969","118890.57972175318","121430.81754768956","123119.18465954349","123543.02393097433","125277.45007553828","127740.7091192585","132110.15549998288","","",""
"","    Imports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-3-WORL-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10926.425998735434","11429.37968812065","17794.068355439438","17912.449545479743","17290.129624088826","18017.70326520344","20485.468628","19272.9717005","19376.1747545","21263.367653","22752.997562","23387.6136125","25061.684228144928","26965.034124394366","29141.278434964825","30905.245732658037","33016.5074291529","34040.4242312426","35242.136025","32348.09413","35794.2236145558","37854.8215002968","37127.16874294942","37485.9148187537","36345.850266727524","36991.4668956523","39135.980728808965","42311.78537629047","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-4-WORL-BCF.A","            Dry natural gas (bcf)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10898.187515228232","11354.869274524272","17854.85234291262","17790.512518","17101.903837","17852.687477","19210.143822","19205.7719125","19736.9897255","21398.133807","22977.04081","23948.0500185","24755.530772","26612.609698","28861.651864","30899.900157","32486.749383","33269.409419","34724.120034","32118.338578","34593.196227","35786.45794152464","35739.97996481","36577.29039305246","35238.278088568346","36439.52846317753","38437.570709504","41176.594281059886","","",""
