Report generated on: 09-17-2020 15:54:42
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","    World","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","67101.17394520548","68639.08794520548","70306.08794520548","71985.6543715847","74220.31616438356","75682.89506849315","74840.0693150685","77729.13101662204","77673.20602621877","77103.67161292638","79623.38939435485","83450.07503992923","85095.60746027397","85221.36643561644","85289.66287123288","86646.285","85846.80176438356","88558.53823835617","89035.91449041096","91089.54459562841","91686.34130136986","94283.39707123287","97114.85737808219","97593.08600819673","98152.90724657534","100809.23213424657","100683.92258630137",""
"INTL.53-1-AFG-TBPD.A","        Afghanistan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ALB-TBPD.A","        Albania","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11.16","11","9.9","9.6","9.265753424657534","6.4","5.575342465753424","5.660099305677597","5.994038690213698","6.322339394060274","6.7221382036109585","6.698837563808743","6.985","7.814465753424657","6.501178082191781","6.036","5.390767123287671","10.870835616438356","15.573068493150686","16.847065573770493","17.016219178082192","20.586849315068495","20.230643835616437","22.81763387978142","16.069","15.655301369863015","14.564890410958904",""
"INTL.53-1-DZA-TBPD.A","        Algeria","","","","","","","","1143","1052","1046","1018","1115","1142","1190","1200","1174","1234","1315","1309","1341","1311.7150684931507","1295.6","1306.7945205479452","1376.0448087431694","1417.2397260273972","1402.4109589041095","1388.6013698630136","1433.0252873095192","1513.8926453349754","1617.653051408422","1784.043024019222","1844.525034373716","1956.7780684931506","1967.493493150685","1967.5452602739726","1954.459","1909.8147123287672","1881.051","1862.69","1875.227169398907","1763.0818219178082","1722.342","1798.425","1698.785655737705","1641.7428082191782","1577.0825342465753","1570.3839041095891",""
"INTL.53-1-ASM-TBPD.A","        American Samoa","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-AGO-TBPD.A","        Angola","","","","","","","","150","130","122","177","208","231","281","359","451","454","474","499","526","508.40024657534246","535.7972602739726","645.4328767123287","708.1841530054645","713.2082191780822","734.582191780822","744.517808219178","746.1131126097378","741.9041209332986","896.1430065276055","902.3047216569644","1054.4150318536942","1249.228808219178","1419.9168630136987","1747.5048301369864","1960.2065081967214","1886.295219178082","1917.9925479452054","1765.0274383561643","1796.4701803278688","1814.0265342465752","1755.7554383561644","1827.92201369863","1796.7427540983606","1706.4348493150685","1655.169095890411","1511.6348493150685",""
"INTL.53-1-ATA-TBPD.A","        Antarctica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ARG-TBPD.A","        Argentina","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","647.0004602739726","713.1095890410959","773.5753424657535","820.983606557377","904.6712328767123","916.6849315068494","870.2328767123288","831.7453620053552","876.0728794417573","865.5893954248986","865.7590334744","825.0821663617922","797.0857534246576","802.2849095890411","781.2251698630137","801.0422267759562","801.6574657534246","788.873690410959","763.1044821917808","722.6970355191257","706.1269616438357","716.3514054794521","708.6832465753424","708.7701475409837","676.2280410958904","678.5595479452055","690.0581780821918",""
"INTL.53-1-ARM-TBPD.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ABW-TBPD.A","        Aruba","","","","","","","","--","--","--","--","--","--","0","0","0","0","-0.0682256","0.0385766698","-0.02753029","-0.028","0","0","0","0","0","0","2.35605572677596","2.3625106739726","2.3625106739726","2.3625106739726","2.35605572677596","2.351","2.235","2.477","2.465","2.811","2.813","2.822","0.68","0","0","0","0","0","0","0",""
