International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=3i00000000000000000000000000000000000180000000000000g&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=1-A&vs=INTL.7-1-AFG-TST.A&cy=2015&vo=0&v=H&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 19 2018 19:12:02 GMT-0700 (Pacific Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Coal,1000 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Primary Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,1000 ST,131.17505,137.78892,159.83515,159.83515,163.14208,166.44902,176.36982,184.086,152.11897,139.99354,115.74269,103.61727,8.81849,7.71618,6.61387,5.51156,3.30693,2.20462,2.20462,1.10231,1.10231,28.6601,23.14854,38.5809,37.47859,36.37627,38.5809,267.86166,382.50204,551.15568,799.17574,1631.4188,1366.8644,1484.81157,1672.645194,1504.65315,1871.72238
,Albania,1000 ST,1563.07751,1697.55949,1873.92931,2039.27602,2215.64583,2369.96942,2388.70872,2352.33244,2407.44801,2417.36881,2282.88401,1198.21097,403.44546,235.89434,186.29039,88.1848,124.56103,42.99009,54.01319,54.01319,33.0693,23.14851,16.53465,63.93398,63.93398,49.60395,49.60395,49.60395,67.24091,11.0231,11.0231,5.51155,5.51155,3.30693,0.09479866,109.12869,0
,Algeria,1000 ST,7.71618,7.71618,7.71618,7.71618,7.71618,8.81849,9.9208,8.81849,11.02311,16.53467,11.02311,16.53467,16.53467,22.04623,22.04623,24.25085,13.22774,12.12542,8.81849,5.51156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,American Samoa,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Angola,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Antarctica,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Antigua and Barbuda,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Argentina,1000 ST,429.9009,548.95038,567.68965,535.72266,561.07579,440.924,401.24084,411.16163,564.38272,566.58734,304.23756,321.87452,222.66662,185.18808,382.50157,336.20455,341.7161,276.67981,319.6699,370.37616,285.49829,205.02966,50.70626,98.10559,56.21781,27.55775,155.42571,121.2541,177.47191,90.38942,71.65015,99.2079,104.71945,91.49173,62.83167,37.47854,25.35313
,Armenia,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aruba,1000 ST,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Australia,1000 ST,115195.8042,133349.7476,139098.2943,152683.1627,162789.1408,177169.8771,189058.2904,214906.3576,193590.9891,215457.5126,225490.7382,242074.9922,251700.3631,249193.7102,248462.8786,266546.2742,272434.8142,291514.698,316749.8808,320774.4146,338102.7278,362855.0989,374672.9644,376616.3369,386143.6022,408505.0629,412983.7484,431046.2001,432382.7331,449630.5989,467823.1456,461799,492786,521124,555811.6241,556119.5208,554763.9629
,Austria,1000 ST,3158.11815,3374.17091,3634.31607,3352.12471,3227.56368,3396.21711,3272.75839,3071.03566,2346.81799,2277.37246,2698.45488,2293.90711,1953.29332,1865.10852,1510.1647,1430.79838,1221.35948,1245.6103,1256.6334,1253.32647,1376.78519,1329.38586,1556.46172,1269.86112,259.04285,0,0,0,0,0,0,0,0,0,0,0,0
,Azerbaijan,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Bahamas, The",1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bahrain,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bangladesh,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.60576382,71.21473755,196.21118,333.99993,427.69628,746.26387,912.71268,777.12855,735.24077,920.42885,942.47505,1043.88757,745.16156,995.38593
,Barbados,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belarus,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belgium,1000 ST,6971.00844,6818.88966,7248.79056,6745.03489,6990.85002,6875.10747,6200.49375,4817.0947,2741.44497,2086.67283,1141.99316,698.86454,240.30358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Belize,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Benin,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bermuda,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bhutan,1000 ST,0.05512,0.09921,0.11023,0.22046,0.44092,0.55116,0.88185,2.01723,2.20462,2.20462,2.20462,2.20462,61.72944,50.70632,70.54793,74.95717,70.54793,59.52481,55.11557,55.11557,55.11557,93.25113,97.62841,73.1097,32.66259,94.00401,107.98793,116.0304,111.7601024,89.02362484,66.80739352,113.6976437,123.7487708,85.69798864,134.3612052,93.69635,129.8333787
,Bolivia,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bosnia and Herzegovina,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,1653.465,1433.003,1543.234,1807.7884,1862.9039,6010.89643,7754.75085,7464.84332,8200.08409,8324.64512,5591.778326,5973.482926,6216.38906,6355.696793,6498.793166,6760.934609,7452.375092,7390.149692,7047.449229,7828.891118,7683.690436,6875.004955,6797.860892,6665.778801,7167.187653
,Botswana,1000 ST,408.95751,419.98011,457.45865,435.41245,433.20783,481.70947,540.1319,536.82497,671.30679,730.83153,875.23414,864.21104,993.18131,981.0559,993.18131,1003.1021,802.48168,855.39256,1018.53444,792.56089,1036.1714,1008.61365,1050.50143,907.20113,1004.20441,1085.77535,1060.42222,912.71268,1003.1021,813.50478,1089.08228,868.62028,1621.49801,1649.05576,1887.15472,2298.31635,2065.72894
,Brazil,1000 ST,5778.30902,6271.04159,6995.25926,7426.26247,8288.26889,8501.01472,8147.17321,7588.30204,8081.03461,7353.51001,5065.11445,5718.78428,5215.02861,5065.11445,5659.25954,5730.90969,5296.59955,6224.74457,6080.34196,6239.0746,7502.32186,6232.46074,5670.28264,5121.33226,5959.08786,6894.94905,6483.78742,6575.27915,7288.47372,6293.08779,5969.00865,6068.21655,7292.88296,9473.25214,8749.03447,8850.44699,7721.68155
,Brunei,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bulgaria,1000 ST,33304.09203,32232.64671,35510.91665,35703.8209,37099.34536,34039.3328,38826.66513,40585.95189,37640.57957,37807.02838,34915.66925,31294.5809,33426.44844,32002.26392,31699.12867,33984.2173,34504.50762,32747.42548,33191.65641,27886.23838,29136.25792,29333.57141,28679.90158,30091.96069,29194.68035,27221.54545,28305.11618,31364.02643,31734.40259,29967.39966,32413.42555,40926.56568,36846.91637,31549.21451,34467.02908,39527.73429,34426.24361
,Burkina Faso,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Burma (Myanmar),1000 ST,41.88783,61.72944,73.85486,78.26411,95.90109,94.79878,108.02651,81.57104,71.65024,71.65024,76.05948,82.67335,80.46873,63.93406,58.4225,63.93406,58.4225,54.01326,57.32019,207.23454,639.34059,707.68389,536.82563,943.57852,514.7794,632.72672,807.99423,854.2913,737.4463,683.43304,756.18559,763.90177,930.34964,669.322632,642.205806,522.384709,606.2705
,Burundi,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cambodia,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cameroon,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Canada,1000 ST,40441.54928,44189.40328,47296.81517,49391.20417,63274.79862,67078.87043,62884.58088,67469.08817,77870.48533,77742.61737,75323.04692,78411.71954,72326.96834,76062.69693,80273.52113,82652.30611,83614.62274,86723.13694,82825.36878,79894.32649,76239.06653,77553.02005,73312.43348,68512.97574,72749.15307,72581.60195,73295.89883,76460.63084,75677.99074,71251.11378,74834.72359,73980.43334,73299.20576,75957.97748,76079.23158,68267.16061,67216.65918
,Cape Verde,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cayman Islands,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Central African Republic,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chad,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chile,1000 ST,1284.19115,1251.12185,1129.86775,1135.3793,1349.22744,1461.66306,1838.65308,1760.38907,2161.62991,2190.28997,2406.34273,2433.90048,1792.35606,1493.63005,1302.93042,1144.19778,1106.71924,1150.81164,1037.27371,534.62035,403.44546,634.93056,477.30023,634.93056,256.83823,599.65664,742.95694,267.86133,735.24077,701.06916,682.32989,720.91074,784.84472,3337.79468,4590.01884,3464.56033,2783.33275
,China,1000 ST,683587.3665,685229.8104,734492.1051,787634.5357,869977.1943,961524.1527,985510.4479,1023044.15,1080121.832,1162001.52,1189724.65,1195214.161,1228581.126,1269179.253,1355313.863,1424395.716,1504609.811,1460849.152,1436117.695,1415748.083,1525800.416,1622078.376,1709021.755,2022627.186,2339775.111,2607124.087,2832640.399,3042255.779,3200453.027,3434086.088,3779211.743,4149574.565,4348754.156,4380934.884,4270259.653,4129850.712,3759542.895
,Colombia,1000 ST,4590.01884,4721.19373,5130.15074,5596.42787,7310.51992,9662.84946,11628.26819,14731.27084,16501.5807,20100.62285,22562.08108,22037.38152,24146.10055,23394.32513,24983.85615,28515.65739,32622.86445,35926.48752,36789.59625,36105.06174,42044.30802,47885.44871,48336.2935,55143.59788,59186.33083,65106.65155,72307.12676,72485.70098,81064.52776,80309.2029,82021.42103,94624.53911,98206.59467,94246.93794,97640.48962,94300.41588,99772.27091
,Comoros,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congo (Brazzaville),1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Congo (Kinshasa),1000 ST,152.12,154.32,135.58,124.56,133.38,133.38,131.18,134.48,135.58413,137.78875,138.89106,76.610545,46.0214425,15.43234,12.12541,11.0231,8.267325,5.51155,4.335752667,3.159955333,1.175797333,3.858085,6.540372667,9.222660333,11.904948,13.22772,13.668644,14.109568,12.786796,13.22772,7.423506695,1.61929339,4.2659397,4.40924,6.22143764,7.616410945,9.01138425
,Cook Islands,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Costa Rica,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cote dIvoire (IvoryCoast),1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Croatia,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,132.2772,127.86796,113.53793,90.38942,72.75246,54.01319,56.21781,16.53465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cuba,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cyprus,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Czech Republic,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,93959.80209,84816.14064,82564.12131,85037.70495,81588.57696,74437.89199,65182.89723,71828.72422,72869.30486,69837.95236,70444.22286,70631.61556,68371.88006,69338.60593,69033.26606,66359.062,62189.02327,60857.43279,64002.32322,61566.21812,53990.04149,51650.93967,51168.12789,50075.73868
,Denmark,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Djibouti,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dominica,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dominican Republic,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ecuador,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Egypt,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.99009,63.93398,40.78547,40.78547,40.78547,36.37623,27.55775,27.55775,27.55775,27.55775,76.05939,41.88778,9.92079,23.14851,3.30693,0,0,0
,El Salvador,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Equatorial Guinea,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Eritrea,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Estonia,1000 ST,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ethiopia,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84158,39.68316,23.14851,0,0,0,0,0
,Falkland Islands (Islas Malvinas),1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Faroe Islands,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fiji,1000 ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
