"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.5-2-AFG-TBPD.A&cy=2015&vo=0&v=H&end=2017"
"Wed Sep 19 2018 19:04:57 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Petroleum (annual)","1000 bbl/d"
"","Consumption",""
"","Consumption",""
"","Afghanistan","1000 bbl/d",7,8,7.8,11,11,13,13.59753,13.86794,13.18628,13.37298,13.57298,12.75473,7.13639,7.13649,6.63649,6.43649,5.92087,5.60002,5.40002,5.40002739726,4.66043715847,4.66060273973,4.76060273973,3.73942465753,4.04224043716,4.41534246575,4.36060273973,4.56060273972,4.96060273972,36.2182465753,42.0182465753,42.0182465753,42.0181967213,126.918246575,127.154958904,130,-,-
"","Albania","1000 bbl/d",46,44,43,44,43,42,38.3,33.9,31.6,27,19.984,17.92538,20.42626,16.72158,13.21491,14.8139,11.61284,12.41172,15.1,9.20809959452,21.1,23.1,24.2,27.2,29,31.4,32.1,32.1,30.3,18.1,25.6,26.7,22.6,27.6278069918,28.0587210959,28,-,-
"","Algeria","1000 bbl/d",121,127,143,136,150,165,166.2,167.4,172.7,182.9,193.5,208.1,210.5,206.2,203.6,204.5,198.2,199.5,206.9,197.7,224.270394536,228.372508493,247.640470137,252.553053151,262.604712568,264.082250959,267.674758356,275.951419178,313.816609836,349.162159452,354.285135342,348.860219178,377.093876712,400.171671233,412.215780822,428,-,-
"","American Samoa","1000 bbl/d",2.8,3.3,4.6,2.9,3.3,3.1,3.2,3.32117,3.22112,3.72931,3.92931,3.92931,4.02895,3.92931,3.82931,3.72931,3.72895,3.82931,3.82931,3.82931506849,3.71344262295,3.81402739726,3.71402739726,3.71402739726,3.71344262295,4.13178082192,4.15,4.47,2.7,4.15,4.15,2.30344,2.30344,2.30344,2.34564584992,2.3749,-,-
"","Angola","1000 bbl/d",20,20,21,22,19,25,23.8,23.9,24,24.3,24.3,25.5,25.5,24.8,24.5,26.4,24.8,29.8,25.4,31.3,38.7013923497,43.5847583562,45.353580274,50.6874969863,54.2014546448,42.1306443836,56.7868076712,67.4633917808,82.7566196721,98.6694082192,104.685374247,110.532613699,128.552157377,139.800965479,147.472341918,142,-,-
"","Antarctica","1000 bbl/d",1,1,1,1,1.3,1.4,1.3,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.8,1.6,1.6,0.0866374465753,0.086636904918,0.0866374465753,0.085362368071,0.09068,-,-
"","Antigua and Barbuda","1000 bbl/d",2.8,2.5,3.4,2,2.2,2.2,2.23671,2.78473,2.7845,2.78473,2.88473,2.88473,2.8845,2.88473,3.08473,3.28473,3.2845,3.38473,3.38473,3.38473972603,3.56338797814,3.56356164384,3.56356164384,3.56356164384,4.06338797814,4.28473972603,4.49534246575,4.29534246576,3.19852054795,4.6,4.9,4.9,4.9,4.79534246575,4.79326027397,5,-,-
"","Argentina","1000 bbl/d",499,483,468,477,463,415,447.9,480,476.6,433.5,413,423.7,445,469.8,458.2,452.8,478.7,477.8,492.2,497.3,509.2,474.5,437.2,449.6,472.6,481.7,536.5,587.4,583.2,589.2,708.4,729.3,741.3,740.3,789.150309041,803,-,-
"","Armenia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,43.4,24.7,17.93169,24.51617,28.47393,29.77413,32.17413,4.43178082192,7.57775956284,7.44457534247,7.08221917808,7.37498630137,7.67480874317,8.97408219178,8.41460273973,9.08657534247,9.67163934426,8.48939726027,9.03306849315,8.51909589041,8.72208219178,7.80931506849,7.77991780822,7.14545205479,-,-
"","Aruba","1000 bbl/d",--,--,--,--,--,--,0.68,0.68,2.51912,3.4,3.54298,3.97386,4.37171,4.5,5.01917,5.61917,3.71912,6.01917,6.01917,6.01917808219,6.51912568306,6.51917808219,6.51917808219,7.01917808219,7.11912568306,7.11917808219,7.81917808219,7.03835616438,6.62704109589,6.72857534247,6.83068493151,6.41917808219,6.41912568306,7.7,7.66106849315,7.5,-,-
"","Australia","1000 bbl/d",594.4,584,616,594,635.366120219,638.602739726,644.178082192,661.005479452,694.31420765,722.876712329,737.934246575,720.594520548,729.639344262,760.991780822,788.024657534,810.909589041,831.352459016,847.745205479,852.460273973,874.863013699,872.448087432,871.501369863,892.408219178,925.616438356,941.158469945,962.334246575,972.016438356,987.682191781,994.316939891,998.520547945,904.556164384,1073.34794521,1103.99726776,1124.85753425,1107.46849315,1107.36438356,1106.17486339,1174.60273973
"","Austria","1000 bbl/d",232.07,225,209,207,201.923497268,198.263013699,206.02739726,209.153424658,204.510928962,204.868493151,216.816438356,233.701369863,228.956284153,235.024657534,233.191780822,233.142465753,253.740437158,253.712328767,265.591780822,252.673972603,250.398907104,266.767123288,273.42739726,288.476712329,294.975409836,298.912328767,298.457534247,293.049315068,284.396174863,269.353424658,277.520547945,262.989041096,260.56010929,263.876712329,260.934246575,262.942465753,267.459016393,267.967123288
"","Azerbaijan","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,203,194,186,177.6,132.7,129.2,147.3,150,137,119.6,117.6,114,112.7,114.5,114.8,109.7,84.8,79.3,83.1,91.8211780822,96.8,100,99.6293271233,101,-,-
"","Bahamas, The","1000 bbl/d",28,29,25,19,17,15,15.1,16.8,15.893,18.17214,19.129,17.2,14.71732,15.52496,16.9,19.9,22.4,22,24.7,21.9,22.2,20.5,22.1,26.6,26.9,30.7,30.8,29.4,20.2,22.8975342466,22.8975342466,22.8975342466,22.7972677596,25.8610684932,25.4051232877,24,-,-
"","Bahrain","1000 bbl/d",16,16,16,15,16,16,16.11743,18.9,18.9,19.5,20.4,21.1,21.3,20.5,20.7,21.1,20,19.6,22.2,24.5,30.2,35.5,23.9,25.9,29.3,30.6,39,43.2,42.4364931507,46.7,45.6,45.7,50.1,53.6,57.4459178082,58,-,-
"","Bangladesh","1000 bbl/d",32,33,34,30,31,32,34.4,33.4,35.7,38.1,36,38.3,37.6,40.5,45.7,51.2,52.6,56.6,57.8,66.6,68.1,82.2,82.2,84.4,84.9,86.4,90.1,90.7,94.3,101.3,81.7,103.3,107.1,105.8,109.371327123,107,-,-
"","Barbados","1000 bbl/d",6.7,7,7.1,7.5,7.2,8,8.4,7.9778,7.17925,7.87,8.268,8.38471,8.58448,8.36353,7.98471,8.24931,8.052,9.2,9.44235,9.74235616438,10.7505464481,10.3515068493,10.3515068493,10.5515068493,7.0641289941,9.8,9.3,8.3,7.76039989041,9.36141643836,8.760756,9.36141643836,9.26124863388,11.6,11.4882465753,12,-,-
"","Belarus","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,375,288.9,240.6,228,205.3,185.9,170.8,157.863534247,226.5,236.7,244.7,143.1,158.784480874,171.5,175.2,175.4,157.7,183.2,152.6,175.4,165.7,161.3,168.830723288,164,-,-
"","Belgium","1000 bbl/d",522.2,481,445,407,385.221311475,405.098630137,454.010958904,457.350684932,469.852459016,462.397260274,463.506849315,496.506849315,506.081967213,498.671232877,552.983561644,549.556164384,590.666666667,608.860273973,620.115068493,596.753424658,609.568306011,612.446575342,620.515068493,654.224657534,662.571038251,665.282191781,651.868493151,662.356164384,699.898907104,628.909589041,659.010958904,618.082191781,604.163934426,622.77260274,616.712328767,649.526027397,659.229508197,648.534246575
"","Belize","1000 bbl/d",1.6,1.5,1.4,1.4,1.5,1.5,1.87195,1.52965,1.10717,1.63491,2.19694,2.51193,2.07583,2.07631,1.97631,2.27631,1.89988,3.21746,3.19402,3.29402739726,4.63639344262,6.18526027397,5.95473972603,6.25473972603,6.77278688525,7.05473972603,7.19123287671,7.33835616438,3.6513178082,3.5511260274,3.5511260274,3.5511260274,3.55071311475,3.60080087671,3.67077808219,3.7,-,-
"","Benin","1000 bbl/d",3,3,2,3,3,3.5,3.40626,2.64807,3.32431,3.42438,4.009,4.7219,5.2,5.8,6.1,6.6,7.2,7.83178,8.5,3.8,11.3633879781,11.4635616438,12.0000547945,14.2,16.7,17.4,20.7,22.5,23.8,31.5,35,31.5,31.5,40.4,42.6115890411,44,-,-
"","Bermuda","1000 bbl/d",3.8,3.3,3.5,3.7,3.6,3.5,3.29534,4.73112,5.14732,6.24772,4.45238,4,3.13568,3.59331,3.49331,3.57413,3.67393,3.67413,3.67413,3.6741369863,3.67393442623,3.63835616438,3.6741369863,4.09331506849,4.39306010929,4.5,4.47671232877,4.9,4.00423561644,4.67840821918,4.56779726027,4.67840821918,4.67792076503,2.86353424658,2.96756164384,3.3,-,-
"","Bhutan","1000 bbl/d",0.02,0.2,0.2,0.2,0.2,0.2,0.20958,0.24536,0.24468,0.24536,0.53578,0.53578,0.53568,0.53578,0.63578,0.83578,0.83568,0.85284,0.93623,0.936246575342,0.93587431694,1.13624657534,1.13624657534,1.13624657534,1.14079234973,1.13624657534,1.16263013699,1.6,1.61731260273,1.93083232877,1.93351726027,1.93083232877,1.93074808743,3.04989041096,3.13471232877,3,-,-
"","Bolivia","1000 bbl/d",25,27,25,25,24,22,21.1,21.2,23,24.4,25.1,25.5,26.3,27.27512,30.4,33,34.8,36.8,40.8,43.8,47.3,46.3,46,45.9,49.8,50.3,57.6,59.8,62.3,51,61,64.7,72,75.2,82.6341523288,86,-,-
"","Bosnia and Herzegovina","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,35,22.8,19.6,19.2,18.4,18.5,20.8,21.3,19.1,19.4,20.1,21.9,24.5,25.6,26,26.2,26.9,27.9,34.8,35.1,32.6,28.8869041096,29.6934794521,31,-,-
"","Botswana","1000 bbl/d",3,3,2,2,2,3.6,3.51928,4.20291,4.7421,5.8,6.3,7.3,8.4,8.2,8.2,8.2,8.2,9.33649,9.45821,9.45821917808,13.9986885246,11.4680001723,11.4680001723,10.9847123288,13.5844808743,14.4729863014,15.1729863014,15.5729863014,19.1,18.4,19.3,18.4,18.4,22.4,21.2878630137,23,-,-
"","Brazil","1000 bbl/d",1148,1085,1061,980,1033,1079,1237,1262.6,1300.4,1316.6,1467,1485,1521,1580,1673,1788,1905,2030,2095,2130,2166.4,2205.9,2131.1,2055.7,2122.9,2207.1,2285.9,2355.4,2204.4,2481.4,2699.4,2775.5,2924.4,3033.3,3156.63092877,3087,-,-
"","Brunei","1000 bbl/d",4.8,5,4,5,5.6,6.4,5.54551,6.1271,6.12765,6.83338,7.34975,10.53892,7.09135,9.26353,10.48471,10.88471,12.6,12.57884,12.28471,13.4423561644,12.1633606557,11.5635342466,11.4635342466,12.9635342466,12.9633606557,14.0635342466,14.0635342466,14.7635342466,16.4635342466,15.4635342466,16.7847123288,18.2635342466,17.4,17.2,16.5401479452,18,-,-
"","Bulgaria","1000 bbl/d",306,294,295,295,294,290,286.1,276.4,278.2,235.9,192,120.9,129.2,116.9,126.5,130.7,118.3,106.5,102.72117,97.1,102.1,99.5,106.1,102.6,104.6,115.3,115.2,113.4,103.8,101.8,90.5,84.6,87.8,81.4,85.3594290411,95,-,-
"","Burkina Faso","1000 bbl/d",3,3,3,3,3,2.9,3.43178,3.5,3.73723,3.32827,3.35866,3.83239,3.83169,4.13178,4.53178,4.53178,4.73169,7.73178,7.13178,7.13178082192,7.53169398907,7.53178082192,7.83178082192,8.03178082192,8.13169398907,8.33178082192,8.5,9.5,13.4,11.6,12,11.6,11.6,21,20.8922739726,21,-,-
"","Burma (Myanmar)","1000 bbl/d",23,23,24,23,24,22,17.39609,16.3,16.7,16.7,15.1,15.69,16.52732,16.4,18.9,18.32117,19.42112,24.92117,29.54235,36.6211780822,38.8944754098,31.5109873973,31.5611463014,36.3563627397,37.1115693989,36.2470158904,36.8656624658,36.2493172603,28.538410929,23.7143112329,27.2558093151,25.2911331507,45.1210469945,60.4157917808,93.6976394521,116.951701918,-,-
"","Burundi","1000 bbl/d",0.7,0.8,0.7,0.8,1,1,1.01239,1.07581,1.69767,1.96059,2.06353,2.36353,2.16336,2.46353,2.56353,2.46353,2.56336,2.56353,2.66353,2.66353424658,2.69505464481,2.89531506849,2.9482739726,3.0482739726,2.69505464481,2.5482739726,2.51650410959,2.4365479452,1.29656701591,1.43039780822,1.40948493151,1.43039780822,1.42976830601,1.614,1.63553424658,1.5,-,-
"","Cambodia","1000 bbl/d",1.9,2,2.2,2.5,2.8,2.8,2.8,2.8,3,3,3,3.2,3.2,3.2,3.2,10.3,11.3,13.3,16,16.6,14.4044808743,15.3618630137,15.3048219178,16.5396448087,17.0218852459,19.2139178082,20.754109589,24.470739726,24.2906284153,29.8339178082,33.6586027397,34.2321643836,36.0072054795,36.2697808219,37.9318082192,43.0294246575,-,-
"","Cameroon","1000 bbl/d",16,16,19,19,19,20,22.24379,20.8,20,24.2,24.6,24.7,24.8,20.6,22.8,23.4,22.5,23.5,23.4,21.6,22.6,22.4,22.3,23.4,23.6,23.8,26.1,29.7,30.9,33.1,36.1,37.5,39.2,40.7,40.4966071233,42,-,-
"","Canada","1000 bbl/d",1873,1768,1578,1448,1506.98360656,1513.86849315,1517.52876712,1592.23013699,1666.11748634,1738.5890411,1721.61917808,1662.28493151,1708.97814208,1733.87945205,1754.92054795,1799.47671233,1852.73497268,1940.46027397,1930.74794521,2016.01917808,2007.72131148,2029.15068493,2040.09589041,2154.5890411,2232.76229508,2326.07123288,2321.7260274,2412.44109589,2324.13387978,2268.85479452,2379.69863014,2408.28493151,2452.73770492,2429.16986301,2387.38356164,2416.82465753,2471.46448087,2444.97260274
