"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000000001&c=00000000000000o000000g000000000011ta1000000000000002&ct=2&tl_id=5-A&vs=INTL.57-3-EU15-TBPD.A&cy=2015&vo=0&v=H&end=2016"
"Wed Sep 19 2018 19:07:27 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Petroleum (annual)","1000 bbl/d"
"","Imports",""
"","Total Petroleum and Other Liquids",""
"","Crude Oil, NGPL, and Other Liquids",""
"","Crude Oil including Lease Condensate",""
"","EU-15","1000 bbl/d",11342.892,9755.92,8735.064,8074.167,8079.151,7916.895,8677.275,8424.373,8709.466,8899.548,9263.908,9513.194,9978.415,10024.311,10154.811,10069.399,10420.678,10674.204,11226.002,10586.47,10948.598,10936.658,10681.551,11013.829,11328.629,11232.867,11030.192,10905.627,10893.736,10008.84,9944.314,9640.862,9870.63,9311.258,9202.399,9745.937,9627.991
"","EU-27","1000 bbl/d",13003.154,11249.295,10153.927,9522.812,9567.275,9378.124,10232.811,10055.558,10349.002,10542.626,10551.074,10355.42,10857.476,11023.444,11155.172,11119.783,11449.114,11710.71,12292.603,11571.71,11967.073,12000.486,11742.333,12080.877,12469.721,12477.689,12329.157,12149.014,12235.339,11222.205,11194.453,10889.402,11123.502,10540.4,10445.519,11093.039,10925.877
"","IEA","1000 bbl/d",23640.682,20505.104,18177.127,17167.304,17386.975,16679.278,18885.792,19120.063,20193.051,21499.41,22390.1,22514.187,23832.782,24981.924,25887.418,26111.856,27081.643,28703.157,29439.885,28991.063,29852.633,29853.061,29138.02,30066.855,30899.138,31129.585,30747.434,30591.484,30072.871,27736.263,28126.518,27523.714,27230.804,25629.328,24927.12,26014.704,26284.778
"","Non OECD","1000 bbl/d",5731.305,5644.199,5476.627,5401.902,5295.567,4661.01,5026.241,5334.622,5584.922,5551.293,5505.643,5085.316,7085.395,6957.243,6543.038,6911.523,7431.022,7815.858,7901.893,8071.097,9151.86769945,9396.59,9691.962,10672.367,12092.2065082,12332.399,12803.994,13335.222,13362.7942896,13757.973,14342.991,14933.633,15881.4088443,16249.519,16699.9875,17468.606,18505.777
"","OECD","1000 bbl/d",23851.724,20695.719,18367.319,17351.251,17565.376,16845.718,19078.869,19310.614,20440.006,21755.352,22660.972,22788.084,24178.962,25355.487,26255.768,26491.339,27445.891,29105.571,29870.332,29364.932,30250.114,30239.221,29519.168,30475.754,31285.625,31514.58,31163.844,30977.42,30468.543,28153.934,28508.892,27906.44,27616.627,26026.31,25319.03,26410.204,26660.302
"","OECD Europe","1000 bbl/d",12777.753,11078.321,10070.68,9399.101,9454.16,9232.592,10057.586,9883.653,10175.25,10273.74,10548.671,10555.978,11078.639,11201.754,11324.076,11326.519,11696.936,11947.236,12537.075,11870.142,12197.55,12218.068,11967.425,12303.962,12631.77,12579.256,12446.081,12322.968,12284.935,11186.867,11247.935,10979.88,11215.472,10651.165,10535.683,11255.071,11039.89
"","OECD, Monthly","1000 bbl/d",15502.866,13432.993,11570.447,10794.224,11006.91,10532.455,11821.176,12025.06,12864.666,14169.283,15015.737,17062.744,18175.147,19324.46,19916.685,19949.085,20693.284,22153.291,22605.92,22325.702,23242.916,23215.201,22664.514,23410.796,24129.285,24373.157,24050.801,23941.689,23337.715,21547.649,21598.885,21260.057,20863.004,19521.313,18736.622,19351.297,19778.134
"","OECD-Asia And Oceania","1000 bbl/d",5048.532,4523.485,4272.319,4187.896,4256.195,3959.144,3979.418,3843.202,4148.544,4557.042,5019.009,5276.153,5887.039,6130.669,6533.96,6571.012,6788.938,7374.079,7016.482,7140.238,7279.767,6958.209,6748.396,6795.725,6763.707,6968.143,6871.808,6911.99,6688.335,6216.484,6393.162,6535.635,6588.639,6443.763,6270.7,6493.192,6503.784
"","OECD-North America","1000 bbl/d",5814.397,4903.298,3834.128,3580.307,3676.62,3487.542,4535.011,5079.431,5555.48,6330.228,6429.284,6324.856,6595.972,7378.013,7684.241,7819.64,8190.018,8989.097,9480.436,9553.472,9981.609,10244.384,10019.009,10563.978,11013.611,11092.136,11006.216,10926.526,10669.601,9902.912,10055.421,9758.199,9370.693,8534.4,8120.737,8266.441,8741.104
"","OPEC","1000 bbl/d",13.024,11.515,14.438,15.609,18.232,15.168,17.838,17.565,18.447,18.889,16.055,15.321,9.443,7.24,6.696,9.84,8.57,8.899,13.887,17.525,19.885,9.981,15.731,41.816,45.722,49.3,86.334,75.693,34.194,27.188,16.988,8.029,7.488,3.16,12.776,9.489,0.141
"","OPEC-Africa","1000 bbl/d",3.232,4.743,4.26,7.366,8.185,6.946,8.793,8.52,9.402,9.864,7.03,6.296,9.423,7.24,6.695,9.696,7.261,5.519,4.869,5.582,6.485,4.386,7.807,8.206,7.051,6.385,7.164,7.77,9.632,7.922,6.926,4.459,6.385,3.16,6.363,5.779,0.139
"","OPEC-South America","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,2.034,4.326,3.526,0.875,0.077,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Persian Gulf","1000 bbl/d",200.592,219.972,160.778,140.143,171.547,152.822,208.825,204.045,208.185,209.298,217.825,223.546,217.223,203.979,203.461,208.964,228.113,222.746,219.212,233.317,250.872,230.518,228.184,243.609,255.009,264.435,307.57,296.923,236.562,243.026,235.022,222.903,221.02,218.917,217.496,250.127,212.419 
