"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-2-AFG-QBTU.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 16:21:01 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Primary Energy","Quad Btu"
"","Consumption",""
"","Consumption",""
"","Afghanistan","Quad Btu",0.0272717214392,0.030567971129,0.0319073545734,0.0383643068772,0.03849220576,0.03870606844,0.03932813404,0.063926656,0.11102767334,0.10990385788,0.04941025118,0.04783386794,0.03153274478,0.03035618596,0.03039981314,0.02477923832,0.02518081246,0.02467828764,0.02344880164,0.0234346233284,0.0225495353284,0.0181532414694,0.0185253055948,0.0163562637579,0.0166043343295,0.0208361407686,0.0264221046579,0.0351634164837,0.0606826964365,0.0974789760305,0.121444804437,0.141544342403,0.139908718153,0.300566742315,0.304505365869,0.308558517648
"","Albania","Quad Btu",0.154089000669,0.154227678445,0.153971034071,0.158505831237,0.160036039056,0.159566504365,0.156779586873,0.157748467061,0.160778924198,0.152595440493,0.107570390249,0.0932734668152,0.0832825346654,0.0728196170085,0.0691120003899,0.0759241565549,0.0850574599969,0.0775229677191,0.0834528932063,0.094626502521,0.095787333187,0.0910614097417,0.0942873270492,0.113561909438,0.116664504438,0.121127873494,0.117871041494,0.102904836494,0.103137157604,0.112320034289,0.125880452228,0.105519345972,0.103911164328,0.127412070462,0.116564529056,0.119451772741
"","Algeria","Quad Btu",0.786203944531,0.667482402493,0.976774683505,1.07375393744,1.14712508374,1.05017615424,1.07329285688,1.14941859,1.2221854812,1.17930072834,1.24220997019,1.35700898667,1.3021782595,1.20177530745,1.23976049912,1.29104189248,1.25748368733,1.20249503337,1.24841289381,1.245176,1.26680726281,1.27272910314,1.31487892745,1.32704583844,1.29882294207,1.49408287204,1.56768417562,1.55243165408,1.68006813611,1.77717053429,1.78494700561,1.92575544445,2.11573563513,2.02946637738,2.36143136778,2.33683749231
"","American Samoa","Quad Btu",0.006,0.007,0.01,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.005,0.005,0.005,0.0048535733675,0.00497276101417
"","Angola","Quad Btu",0.0585056417437,0.0575400913886,0.061272402778,0.06631201092,0.060264,0.0732682,0.07389436,0.07587654,0.07781384,0.076958144,0.079468636,0.08246174,0.085604544,0.084082229,0.082139976,0.088187992,0.08447144,0.092844458,0.084696653,0.09405001,0.110632758163,0.120616499656,0.1281776895,0.142126174463,0.156703322379,0.133897232192,0.168752871677,0.193663476299,0.22735303085,0.258330475413,0.279410630697,0.294533845247,0.328568187054,0.347621805494,0.35917809571,0.368016409834
"","Antarctica","Quad Btu",0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003019998,0.003019838,0.003019768,0.003019708,0.00303904,0.003039024,0.000226927146672,0.000193343055106,0.000192833646672,0.00018761791504,0.000209097503403
"","Antigua and Barbuda","Quad Btu",0.006,0.005,0.007,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.00957680938,0.0103961647296
