"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000001&c=4100000002000060000000000000g000200000000000000001&vs=INTL.44-2-AFRC-QBTU.A&cy=2015&vo=0&v=T&end=2015"
"Sat Aug 25 2018 16:21:20 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"","Primary Energy","Quad Btu"
"","Consumption",""
"","Consumption",""
"","Africa","Quad Btu",6.63768326504,6.78875464227,7.40022637866,7.77567189901,8.14340818742,8.33201558582,8.50056450995,8.83425426149,9.1355457024,9.29392919766,9.64550588764,9.85428208697,9.82724799906,9.94419343724,10.1718823979,10.5753833249,10.9392838224,11.4134183435,11.5809776791,11.58767868,12.121440769,12.5452928249,12.9129087189,13.4417504208,14.0201071951,14.5414201305,14.6654579516,14.9546573758,16.147299832,15.7058962875,16.4784435425,16.8482563121,17.801748615,17.9616488702,18.485835749,18.0388008204
"","Asia & Oceania","Quad Btu",47.7723564632,48.1481063209,48.828460962,50.4149949576,54.2548200961,56.05667564,58.0588906204,60.9144282561,65.3525745935,67.1967637991,75.2724621832,75.5197583433,78.174289657,82.8730390103,87.8955661729,94.2612161088,97.7457025032,99.3023962465,99.3370181005,104.320938289,110.181801099,113.947228032,119.056910223,129.345127085,141.185382169,151.633439023,162.00501326,172.036630707,175.79103734,184.08858509,198.429217247,209.160493357,216.517369438,212.667855573,215.361193569,216.424821471
"","Central & South America","Quad Btu",11.086286901,11.0393057009,11.2078091571,11.1502607584,11.8354681597,12.0446464107,12.8839110865,13.145790203,13.5135047623,13.9498066723,14.4236607064,14.869722717,15.1198104467,15.8470374842,16.6241249745,17.3855177344,18.2538026893,19.1776987984,19.8022434343,19.9113109071,20.6655071587,20.728638709,20.6543675207,20.9944507501,22.1004228279,22.9907471037,23.8777675329,24.3397565423,25.346164606,25.1803754363,26.8103985567,27.7405577494,28.534961084,28.9736690976,29.4745287732,29.0768426194
"","Eurasia","Quad Btu",46.7345218153,47.2208824388,49.2613329374,50.4180106782,53.4148694647,55.6888649298,57.4759377013,58.8235213296,60.7596741606,60.0692502407,60.9136973968,57.6032238766,53.2922416483,48.9929465161,43.8296055539,42.2049929646,39.314872434,37.2611633133,36.8324261964,37.8887128041,39.11302632,39.1949581842,40.176878979,41.6250246548,42.9053812564,42.7765534999,43.7281557,44.2488131422,45.0026435937,39.8431154871,43.2996575887,45.0969861487,45.4781623803,44.0931685707,43.226663853,42.4639732936
"","Europe","Quad Btu",71.9488571693,68.4688072793,68.3901783339,68.6540069663,70.423694358,72.6823428224,74.4163758702,75.910117402,76.5543845046,76.7095737714,75.9155053521,75.9617042388,74.5749599013,75.1344408397,75.0138983012,76.9537994341,79.5503555578,79.6007769776,80.2178845319,80.2336427729,81.0882072145,82.438554796,82.1501195764,83.2453299847,85.0151203604,84.7071146917,86.1486411038,85.5591057567,85.6179792896,80.9967733382,84.0062988595,81.7723638258,81.5419582931,80.0227095157,77.8481373303,78.9948515183
"","Middle East","Quad Btu",5.88389581419,6.17245687561,6.40458501837,7.20726877658,7.81890323492,8.56902543868,9.18569485237,9.78438576712,10.3512895472,10.8897458442,11.2452416824,11.3952029363,12.2202667322,12.9252270033,13.5963733453,13.8493260358,14.5801692107,15.6032742597,16.2822884927,16.6207377771,17.8450858321,18.5393812192,19.4104408793,20.040810441,21.4245805001,23.5484043607,24.4800885406,25.4094459372,27.5418599193,29.0165015048,30.3575773351,31.7271704406,33.48799129,33.8117574902,34.97304505,35.8190923365
"","North America","Quad Btu",91.6278868513,89.4425084799,86.3646023364,86.108131599,90.5100442647,90.8596191203,91.1441668896,94.0084486704,98.2068249275,100.371814789,99.7028687177,100.122368931,101.768424627,103.808680746,106.138829096,108.109744226,111.577800307,112.376444727,112.825594121,115.117887302,117.666877703,114.687050172,116.141030799,117.013439984,119.697932028,120.253091389,119.903189673,121.591402292,119.175829642,114.198606196,118.3612485,118.42964774,115.909368863,118.805681417,119.883419015,114.899647969
"","World","Quad Btu",281.691488279,277.280821738,277.857195124,281.728345635,296.401207766,304.233189948,311.66554153,321.42094589,333.873798198,338.480884314,347.118941926,345.32626313,344.977241012,349.525565037,353.270279842,363.339979828,371.961986524,374.735172666,376.878432556,385.680908532,398.681946096,402.081103937,410.502656696,425.70593332,446.348926337,460.450770199,474.808313761,488.139811753,494.622814222,489.02985334,517.74284163,530.775475574,539.271559963,536.336490534,539.252823339,535.718030028 
